park_type,income_group,before,during,mean_diff,diff_lb,diff_ub,mean_diff_pct,diff_lb_pct,diff_ub_pct,groups_before,groups_during,,,,,,,
Community Park,lower,6.47,4.88,-1.59,-1.63,-1.55,-24.63,-25.24,-24.02,a,a,,"6.5, 4.9",,"-1.6 (-1.6, -1.6)",,,"-24.6 (-25.2, -24.0)"
Flagship Park,lower,7.09,5.91,-1.18,-1.24,-1.12,-16.64,-17.47,-15.81,a,a,,"7.1, 5.9",,"-1.2 (-1.2, -1.1)",,,"-16.6 (-17.5, -15.8)"
Jointly Operated Playground,lower,4.35,4.71,0.36,0.31,0.4,8.18,7.21,9.15,a,a,,"4.4, 4.7",,"0.4 (0.3, 0.4)",,,"8.2 (7.2, 9.2)"
Nature Area,lower,5.7,6.13,0.43,0.15,0.71,7.56,2.71,12.4,a,a,,"5.7, 6.1",,"0.4 (0.2, 0.7)",,,"7.6 (2.7, 12.4)"
Neighborhood Park,lower,5.9,4.8,-1.11,-1.14,-1.07,-18.75,-19.39,-18.11,a,a,,"5.9, 4.8",,"-1.1 (-1.1, -1.1)",,,"-18.8 (-19.4, -18.1)"
Playground,lower,4.35,4.89,0.55,0.51,0.58,12.55,11.66,13.45,a,a,,"4.4, 4.9",,"0.6 (0.5, 0.6)",,,"12.6 (11.7, 13.5)"
Recreation Field/Courts,lower,5.95,4.71,-1.24,-1.29,-1.18,-20.81,-21.76,-19.86,a,a,,"6.0, 4.7",,"-1.2 (-1.3, -1.2)",,,"-20.8 (-21.8, -19.9)"
Triangle/Plaza,lower,5.44,4.31,-1.13,-1.22,-1.04,-20.76,-22.48,-19.04,a,a,,"5.4, 4.3",,"-1.1 (-1.2, -1.0)",,,"-20.8 (-22.5, -19.0)"
Overall,lower,5.71,4.91,-0.8,-0.82,-0.79,-14.09,-14.4,-13.78,a,a,,"5.7, 4.9",,"-0.8 (-0.8, -0.8)",,,"-14.1 (-14.4, -13.8)"
Community Park,middle,5.34,4.53,-0.81,-0.85,-0.77,-15.17,-15.84,-14.49,b,b,,"5.3, 4.5",,"-0.8 (-0.9, -0.8)",,,"-15.2 (-15.8, -14.5)"
Flagship Park,middle,8.25,5.67,-2.58,-2.63,-2.53,-31.3,-31.89,-30.7,b,b,,"8.3, 5.7",,"-2.6 (-2.6, -2.5)",,,"-31.3 (-31.9, -30.7)"
