safegraph_place_id,parknum,per_capita_income,median_household_income,aggregate_household_income
sg:beaa8a69eb69435f9c680e31f1f62c26,Q082,30358,88359.0,52396000.0
sg:196f28056ba147899bbd18d7bc4ffc44,M010,259843,,124987600.0
sg:9299daa4b2ad4ea79ddcf2b830dcde98,X150J,38850,80473.0,26356900.0
sg:4b214270212c4251a479dbd4bdc8f395,M063,133264,207857.0,458524500.0
sg:520c4d44efc34b718d43028146d09103,R075A,33719,129191.0,55769900.0
sg:6d592771736d4d0d9388b5d5d138bb36,Q099,21340,,6926800.0
sg:33796da7db6a434ab257c49201397b3b,M052,170902,160857.0,183150000.0
sg:9e95333841f948faa9031a2a0cc7d42f,Q086,28788,65125.0,48598300.0
sg:ff33ee9d8f194fe4a07c5effe2508495,B336,15494,14167.0,13557200.0
sg:344280ab931e480eb08aa84da70bac2c,R006,57871,112159.0,139609800.0
sg:175d23096237425ab4f6685e9b98f649,Q099,21340,,6926800.0
sg:1a7231e4b2f949e2a069d20ea72fee97,M076,76970,172193.0,82010900.0
sg:3e315e024b1f4efeabf48cf2b5942215,M223,27147,45444.0,57824900.0
sg:038fb43fea8046d989324c2fd425a97b,B157,36744,83235.0,52407100.0
sg:4e13125f15f1495785ed87fbfa2d3063,Q023,24901,54268.0,57693700.0
sg:ab04ccd6bc974d8cb6977651eda494fe,Q001A,17250,57750.0,22872900.0
sg:bd87c21b8cbf4c9d94a4c9d2bd9036e4,X110B,54744,91488.0,73554300.0
sg:693a52c21b3c426e85dbb6fd4ab8f0df,Q353,34896,134432.0,50527400.0
sg:2919b023a0884b6492e323924eddfef9,Q099,31971,44028.0,54208600.0
sg:4aa9a683721f4f1f97ae8eec3eb125df,B431,133654,156343.0,54799500.0
sg:c6f3e5f51061444aa56b72ea55f9bd49,X007,50699,125114.0,36278800.0
sg:1e7bd9f6476c41a1ad9dca2ed6cfb8f6,X101,22155,54167.0,50638900.0
sg:4d8f918190f342f3a15f2fb42ad0c23c,QS37,51724,96042.0,38555600.0
sg:4ed72e074ae1419481dbd66590b9760b,M010,230379,250000.0,202275200.0
sg:479977c47db74f27bfc9546da88582a4,M105,61248,59861.0,58730900.0
sg:bba845f18fd2448ea2c6203dd43e2e77,M256,196161,250000.0,292245700.0
sg:15417ce5fdaa4924bf96078ae32c7a59,X190,24895,43565.0,19661600.0
sg:b99089acb1a74379b4ff0b9847b9eb54,X207,9532,16649.0,12529300.0
sg:2ccc0209450c43269c8251019e0dc87f,X030,16595,30553.0,27845100.0
sg:ecd9602d65a344e08030d32124cf5c2d,X026,9255,20226.0,21855100.0
sg:07a0346d4bf541fba07779f6f30b6263,Q357B01,28179,65714.0,32777900.0
sg:7ca666863c0c44d98bb89e3569b2a88c,Q304,54841,105156.0,119782000.0
sg:107472c0a7b9492f8a51413d41d4f02f,B164,36222,105278.0,47450800.0
sg:6890427718254d45bb54d4b57fa83e13,R085,38322,131719.0,95916000.0
sg:3fe7098938bc404da5201c8e2ee5f55d,M058,48804,76912.0,126687700.0
sg:481e7f9318094cce9e3b489b0dcbf940,B087,17288,44167.0,31313000.0
sg:91d4219c8e5941eab5c9bd0e34f5c776,X028,16595,30553.0,27845100.0
sg:0a926603ac2c4c74be5fa9edeb434f64,B255E,42174,102143.0,37183900.0
sg:7bb98be1045f445a9858284f2f0f1d73,Q342,35086,74306.0,90350400.0
sg:9374df3643e446db9cfba88e184de8f1,M013,75949,166786.0,184158900.0
sg:58651fc8557748ad8db9fbf3b99b410a,B349,23076,22619.0,33611900.0
sg:dfd8425ba658402da597c3af10bd91de,Q302,23955,65057.0,38576400.0
sg:123a7b26f9fa45d58c6f68bf93a3e84e,M087,21605,41435.0,31274300.0
sg:ee67520ece5c475e883be37081417d82,M281,56624,83447.0,130722000.0
sg:33b8445fd0c94a2187e81dccc455c127,M010,652420,250000.0,197266700.0
sg:42af4168c0464a06aaa08b1ebe84e65a,M195,63429,92172.0,77627000.0
sg:cc959bac50b645b495f99e9162212df2,M138,18547,31382.0,24097000.0
sg:f29e081d249e4f5897dbb54cb49bce13,B412,14638,,24629500.0
sg:27d0ae9d12804cbfbc9aeb4e5dd84e65,B347,26762,42891.0,45216900.0
sg:967e666a886e4b6baf52f1fed2ed1ae9,Q066B,34459,77273.0,45406200.0
sg:a2e55fc44398464db081936377d290fc,B058,85723,158452.0,210109800.0
sg:09d2874bf66543e8854ed27454ca2de5,M014,30418,50777.0,79829000.0
sg:756e55c0d02946c683b912b94f3dba6c,B271,31020,76324.0,57033000.0
sg:77308a9f6032465b837a956465ec002b,M108G,17344,18529.0,48147900.0
sg:6d48ff0a25474311a95b5d42d5fbd9d0,M227,87521,97679.0,116199200.0
sg:5c5317cacfcd4162af0bd876527b0f0a,R047,40535,81184.0,41886500.0
sg:b11ab57f071b4de28832c2c597a0f827,X039,64131,108214.0,71149200.0
sg:992abef86a984e85b1c50797bcc06078,B412,14638,,24629500.0
sg:ad7e5a9f54fe423280d0b5bcb0855a69,R031,38322,131719.0,95916000.0
sg:7165d1ec8d1f4475bb83ad5c50e03b4e,B110,27526,66648.0,23327800.0
sg:8f8b21ac7e80457bb7f2f87f863efdf8,X030,16595,30553.0,27845100.0
sg:ab0846a669b4438592fa207f968e9a4a,M010,23666,42368.0,48097100.0
sg:f9f71f82a559419a906e34c741c585e0,X106,29970,,6589600.0
sg:d8da6bbeb36f4f03a565055f01e6be4d,X281,17027,37375.0,15347200.0
sg:104a0bc10c2a4abaa3e51168b7d62ffd,X103,10310,17642.0,14120700.0
sg:140d6090e9d846859f74b7957f3fb3d0,B032,79928,143750.0,48375000.0
sg:2205c415e30d42ff86d8de706fb06124,M013,75949,166786.0,184158900.0
sg:9226803293d34bbfa3a5f6d7dd655846,Q009,25955,64303.0,99719300.0
sg:b4ce2c3bddbc4af089df1bb9797b5b37,X028,16595,30553.0,27845100.0
sg:a8372eb292a940a7a24d2f142118f739,M386,96287,164430.0,467919400.0
sg:391ebcf745a34afe97a8977318edacc9,B218,47264,81364.0,62949500.0
sg:ab4470f7692b4f5da1f81296abcb05b9,M360,66871,29911.0,99946500.0
sg:89ff92cf984a4b8497f6528e2ccb1733,R031,38322,131719.0,95916000.0
sg:2adb2a15c5be45048b6aeb134a8f94cb,B217,10135,19614.0,25717400.0
sg:2baf805e6f0f45df97a4981b8552b32a,B255F,81367,143095.0,51858500.0
sg:15400cd6680d474297b057f67780d50b,M047,35976,58698.0,45244200.0
sg:f02eaa9282844680a5f0c0e3bf5aca7a,X160,19598,43409.0,18629900.0
sg:4e3d53736dac4b649ca8930d0dc0a7c2,M265,95861,109463.0,136031300.0
sg:8456ac00c779455dacac668d170c8227,B073,41768,86402.0,98895800.0
sg:4340859542174a45bcab6b10dac04373,M010,137397,82917.0,162235400.0
sg:8089315283a6436ea6722aa3917ddca0,B058,93979,127159.0,155839800.0
sg:922e9d150ed343b3a8a0ed06b24bf974,Q348,40946,118936.0,52603900.0
sg:8fd2877dad8b41b5830f7e3e29bcfc14,M037,22695,,40405800.0
sg:d16df860806e4b6aa1dfb8967fbb9926,Q015,47698,93214.0,35398900.0
sg:4cede3cc2388460896533e0b69a36b9a,X110,56680,107981.0,52464000.0
sg:c3cb6219fd3b4b2d997d28fa9967a2c8,M008,101975,158750.0,169542700.0
sg:08c97f2aa0314ade989802c68e294854,Q414,25598,86474.0,29264000.0
sg:387ab7471e1b4fab8faa50b24d531361,B144,17871,43171.0,45728300.0
sg:c8d2cf3535574feabedf872418c76eb9,B142,14655,31500.0,17897600.0
sg:81121f7a1fcf4c6da0f28f29ce76f5b6,B113E,77421,109208.0,119823800.0
sg:eae324a910654bbaa48b0c05e5967044,X191B,29910,55700.0,37153800.0
sg:00d278727f5f4e21a472321b5ddb56ac,M145,214292,250000.0,316084700.0
sg:7e0c0a8544e548569c0366c79c8dcbc5,Q122,19742,66250.0,26610600.0
sg:1a4827d777f14378b94ba574ffbbd477,B270,17704,48150.0,15353300.0
sg:58dd7a0ce28c4f83b9a5cb5a4e783dad,Q015,30755,71328.0,37490600.0
sg:061747d0fb9143a98e583da49473f073,Q099,15949,77321.0,21128200.0
sg:465c998e437e433d934e6488eb3754ee,X010,12129,27321.0,13008000.0
sg:1fb1d9e124f64ee9b801c246910766d4,Q220H,39000,85496.0,49232700.0
sg:1484e952c7bc4911a2dd7774262bfa9c,R045,37717,84545.0,82436500.0
sg:5000a5677cf64b64a29699f1546dac8b,Q290,32447,96389.0,45387600.0
sg:79dad09bef5e4ac9a272bdd980af3738,B383,18919,28674.0,9888500.0
sg:42c9a8ed98144eec982c622132f868d5,Q328,36996,91923.0,21382300.0
sg:6c72c263575e4f3f954ac411af6b02c4,B286,11684,35469.0,35325800.0
sg:24e26667acf74bfda235e9fcbb019bc9,B012,23032,39704.0,15621300.0
sg:43a46d6f96684bd49aa10f4acc047be1,X002,21600,,
sg:692628f4be4d40d9874d7d0f36e8c5a7,M010,295434,250000.0,135868500.0
sg:852503a0ba8640c1b7582e2b535441f4,M104,5870,,
sg:a03d5c13210c42c488ee188d4e4a8c3e,R013,69377,115625.0,61173100.0
sg:3743ef385dc54cba9a8f9fda0fb030f3,B113B,77421,109208.0,119823800.0
sg:6b6e785469ce4999970182a68950def1,M213,9937,17554.0,16312600.0
sg:c39506aead344b0caab9b6435bf4b41c,B192,62715,131806.0,81384800.0
sg:c96c0c99aea942d79cb3d5170be46cdf,B462,18768,42361.0,43188400.0
sg:37b40c0cd1714176bb68317e3f2388b6,M010,252406,221058.0,335932900.0
sg:4a71340d7a23471aad1f77483fd3e68b,B110,27526,66648.0,23327800.0
sg:d77d5660fd0543ac86c103265339e216,X272,15586,,9409700.0
sg:234b2dac63d0484ba86984e23dc83a06,R005,49476,107593.0,71582200.0
sg:b60399f278104592b3ab83608c9b211c,X030,16595,30553.0,27845100.0
sg:2c2f886c54814f87b5741445548cb39d,R123,23101,57000.0,35189800.0
sg:9c7203c057784b4db57f9432aee916d9,B431,107058,153977.0,178163600.0
sg:5b7ae302f21b40b195d207c820196c7a,R046,27310,79330.0,115242200.0
sg:a432ecb3aaf74937b94f17acb28517cf,Q099,15949,77321.0,21128200.0
sg:17e16e15f95342a78bf419a772057541,M010,152037,119750.0,126915200.0
sg:29ba6eec50fb445fb6834a3148df76fe,M104,5870,,
sg:cac94e44dfe646fcafbbac878934c181,M360,141485,141672.0,828887200.0
sg:d54ac906e1e94ac3b83603fc0514f31c,B073,70751,172635.0,104371900.0
sg:442ee92c9ee74cffbfa8847304151c44,M242,75949,166786.0,184158900.0
sg:1694c5686e524a6ab024e27aaaf94222,X101,9966,,
sg:f89de88859f44e4f8ed429a3af77b185,R116,38005,105188.0,54917000.0
sg:08fe9d959ae1411ab50d3949e12a7ac3,Q392,31250,79250.0,51931200.0
sg:a91344227553404b9e35666355abd3be,X154,9613,16023.0,13905600.0
sg:e48b1c44fb934cf79197a009681cb1db,R123,23101,57000.0,35189800.0
sg:695abe0da89743bb9c1f54716200483b,X002,21600,,
sg:35843e6ef3b545ae91dadacc9006b95b,X020,31910,98553.0,14966600.0
sg:5dac573d0d61470c8016454d3aef33f2,M028,41818,129524.0,51076300.0
sg:057cb1beecb74b1597d3e9dea1e510ca,B301,59235,157350.0,33580300.0
sg:94b39cf778ed46b2824213b0266f4461,R101,46168,89821.0,46354900.0
sg:736dff91f6db45989d758afcbe0608b6,R026,31524,82768.0,86785600.0
sg:16b54b2cd4674e8294108d737c6bb59b,B223P03,39178,64741.0,18609400.0
sg:96c15900e6014930b222f1406a4b7d48,B080,15494,14167.0,13557200.0
sg:80586c9c90794e0ab5f25cf9627bfc64,M005,137379,203868.0,476268100.0
sg:5cc76175729d4a80828e0ba2da12a110,X165,10993,21780.0,27536000.0
sg:bece14e5b68a411a8b9aec4f7600d76f,B533,14462,24875.0,16936700.0
sg:145edf85b6094ea4827a7ab2e31148ac,Q360U,83929,147050.0,243045600.0
sg:cbaea66600644ad1a6258669edcaccbe,M019,13496,32061.0,14283700.0
sg:f441ad91a8fc44b88a3e059801bf1258,Q415,17743,57313.0,37285900.0
sg:f70b3a9d3da74f7a8d2b5791bc57ef50,Q048,25434,48269.0,33725000.0
sg:c6bd609b81eb4214a0e1612e4f6133d7,M232,96006,,85722500.0
sg:49fe3ea1925f48e9af2dfa067e13346a,B032,12045,33688.0,16401100.0
sg:2d6c8bc0eeb6440da4d4bdfc4375592a,M017,60702,77857.0,116539200.0
sg:d4afc8ffc84c4664ab44d656b1554bda,Q470,27934,61211.0,50123800.0
sg:2670dce5b1874703b9344afe0a707ce8,X292,17974,41974.0,34964400.0
