landuse,park_name,parknum,Shape_Length,Shape_Area,CENTROID_X,CENTROID_Y
Community Park,Abraham Lincoln Playground,M193,0.002879668,3.99691E-07,-73.93717846,40.81217791
Community Park,Alfred E. Smith Playground,M194,0.007481026,7.93397E-07,-73.99753848,40.71067508
Community Park,Aqueduct Walk,X001,0.012709657,8.48004E-07,-73.90212736,40.86517446
Community Park,Aqueduct Walk,X001A,0.03489118,3.80013E-06,-73.90907773,40.85684087
Community Park,Asphalt Green,M286,0.008695997,1.90341E-06,-73.94399601,40.77866386
Community Park,Asser Levy Park,B080,0.032305981,1.02437E-05,-73.97369895,40.57469841
Community Park,Astoria Park,Q004,0.030208639,2.13254E-05,-73.92304369,40.77844565
Community Park,Baisley Pond Park,Q005,0.056452365,4.91382E-05,-73.78616207,40.67597939
Community Park,Battery Park City,M283,0.065878502,1.08268E-05,-74.01682092,40.71276336
Community Park,Battery Park City,M283A,0.000650315,2.54028E-08,-74.01765897,40.71205542
Community Park,Bayswater Park,Q007,0.023407684,1.03892E-05,-73.76867315,40.59916277
Community Park,Betsy Head Park,B008,0.015034959,4.35829E-06,-73.9129551,40.66314093
Community Park,Big Bush Park,Q205A,0.005652248,1.34152E-06,-73.9026142,40.73960993
Community Park,Bloomingdale Park,R106,0.067808468,6.76991E-05,-74.21424574,40.53314071
Community Park,Breukelen Ballfields,B247,0.01623275,6.79981E-06,-73.89250478,40.6525062
Community Park,Brooklyn Bridge Park,B431,0.069824621,2.22433E-05,-73.99803098,40.69877459
Community Park,Brookville Park,Q008,0.072520034,3.84974E-05,-73.74571492,40.65945888
Community Park,Bushwick Playground,B310,0.0032221,5.8729E-07,-73.93943755,40.70175698
Community Park,Callahan-Kelly Playground,B219,0.008828484,1.73862E-06,-73.90510993,40.67833384
Community Park,Cambria Playground,Q339,0.005947166,2.02849E-06,-73.74293286,40.6891391
Community Park,Canarsie Park,B018,0.054638983,5.77767E-05,-73.8916592,40.63013625
Community Park,Carter G. Woodson Children's Park,B397,0.002952188,4.02358E-07,-73.90583479,40.66845428
Community Park,Claremont Park,X008,0.019310561,1.66037E-05,-73.9074361,40.84045539
Community Park,Clove Lakes Park,R005,0.066648719,8.4466E-05,-74.11373201,40.61945737
Community Park,Commodore Barry Park,B021,0.008664091,4.33965E-06,-73.97894032,40.69729847
Community Park,Commodore Berry,B021,0.000321073,6.31559E-09,-73.97817693,40.69759239
Community Park,CPL. Thompson Park,R109,0.009478216,4.67809E-06,-74.11884075,40.63806993
Community Park,Crocheron Park,Q012,0.031141334,1.80946E-05,-73.76739712,40.77157088
Community Park,Damrosch Park,M231,0.004917341,1.08331E-06,-73.98497836,40.77221347
Community Park,Detective Keith L Williams Park,Q121,0.008598513,3.43465E-06,-73.78443978,40.70289236
Community Park,Di Gilio Playground,B316,0.002735284,3.8423E-07,-73.97712836,40.63262501
Community Park,Dry Dock Playground,M270,0.003234596,6.3075E-07,-73.97545968,40.72544928
Community Park,Dugan Playground,R026,0.005691476,1.4394E-06,-74.11083275,40.56143477
Community Park,Dyker Beach Park,B028,0.052975364,9.08117E-05,-74.01892097,40.61128439
Community Park,East River Park,M144,0.048313727,1.88173E-05,-73.97511446,40.71738191
Community Park,Elmhurst Park,Q492,0.007318536,2.52887E-06,-73.88513128,40.72990879
Community Park,Faber Pool and Park,R008,0.005619969,1.94064E-06,-74.13574614,40.64099421
Community Park,Flushing Fields,Q086,0.009809209,3.13342E-06,-73.81666644,40.77464436
Community Park,Fort Greene Park,B032,0.014814065,1.30233E-05,-73.97553026,40.69151408
Community Park,Fort Tryon Park,M029,0.034223449,2.96674E-05,-73.93222364,40.86237214
Community Park,Fort Washington Park,M028,0.256153773,4.88675E-05,-73.94215241,40.85130717
Community Park,Four Winds Playground,Q024,0.002929462,5.7306E-07,-73.80828617,40.7424672
