date,year,month,park_type,visitor_count,visitor_count_monthly_total,fraction_to_monthly_total
2018-01-01,2018,1,Buildings/Institutions,12536,224751,5.577728241476122
2018-01-01,2018,1,Cemetery,71,224751,0.03159051572629265
2018-01-01,2018,1,Community Park,32407,224751,14.419068213267128
2018-01-01,2018,1,Flagship Park,31825,224751,14.160114971679771
2018-01-01,2018,1,Garden,4596,224751,2.04492972222593
2018-01-01,2018,1,Historic House Park,852,224751,0.37908618871551186
2018-01-01,2018,1,Jointly Operated Playground,28990,224751,12.89871902683414
2018-01-01,2018,1,Lot,106,224751,0.047163305168831285
2018-01-01,2018,1,Nature Area,6335,224751,2.8186748890994924
2018-01-01,2018,1,Neighborhood Park,46517,224751,20.69712704281627
2018-01-01,2018,1,Parkway,1999,224751,0.8894287455895636
2018-01-01,2018,1,Playground,27655,224751,12.304728343811595
2018-01-01,2018,1,Recreation Field/Courts,8159,224751,3.630239687476363
2018-01-01,2018,1,School Yard to Playground,856,224751,0.3808659360803734
2018-01-01,2018,1,Strip,260,224751,0.11568357871600127
2018-01-01,2018,1,Triangle/Plaza,18602,224751,8.276715120288674
2018-01-01,2018,1,Undeveloped,2478,224751,1.102553492531735
2018-01-01,2018,1,Waterfront Facility,507,224751,0.22558297849620246
2018-02-01,2018,2,Buildings/Institutions,13869,244939,5.662226105275191
2018-02-01,2018,2,Cemetery,83,244939,0.03388598793985441
2018-02-01,2018,2,Community Park,34751,244939,14.187614059010611
2018-02-01,2018,2,Flagship Park,31877,244939,13.014260693478786
2018-02-01,2018,2,Garden,4992,244939,2.0380584553705208
2018-02-01,2018,2,Historic House Park,921,244939,0.3760119866579026
2018-02-01,2018,2,Jointly Operated Playground,31130,244939,12.709286802020095
2018-02-01,2018,2,Lot,77,244939,0.03143639845022639
2018-02-01,2018,2,Nature Area,5992,244939,2.4463233703085256
2018-02-01,2018,2,Neighborhood Park,53187,244939,21.71438603080767
2018-02-01,2018,2,Parkway,1991,244939,0.812855445641568
2018-02-01,2018,2,Playground,30588,244939,12.488007218123697
2018-02-01,2018,2,Recreation Field/Courts,9171,244939,3.744197534896444
2018-02-01,2018,2,School Yard to Playground,848,244939,0.3462086478674282
2018-02-01,2018,2,Strip,243,244939,0.0992083743299352
2018-02-01,2018,2,Triangle/Plaza,22164,244939,9.048783574685942
2018-02-01,2018,2,Undeveloped,2456,244939,1.0026986310877402
2018-02-01,2018,2,Waterfront Facility,599,244939,0.24455068404786498
2018-03-01,2018,3,Buildings/Institutions,16335,337501,4.8399856593017505
2018-03-01,2018,3,Cemetery,103,337501,0.030518428093546386
2018-03-01,2018,3,Community Park,49125,337501,14.555512428111324
2018-03-01,2018,3,Flagship Park,46088,337501,13.655663242479282
2018-03-01,2018,3,Garden,7542,337501,2.2346600454517174
2018-03-01,2018,3,Historic House Park,1478,337501,0.4379246283714715
2018-03-01,2018,3,Jointly Operated Playground,44389,337501,13.152257326644959
2018-03-01,2018,3,Lot,206,337501,0.06103685618709277
2018-03-01,2018,3,Nature Area,8726,337501,2.585473820818309
2018-03-01,2018,3,Neighborhood Park,71406,337501,21.157270645124015
2018-03-01,2018,3,Parkway,2674,337501,0.7922939487586704
2018-03-01,2018,3,Playground,43665,337501,12.93773944373498
2018-03-01,2018,3,Recreation Field/Courts,12892,337501,3.819840533805826
2018-03-01,2018,3,School Yard to Playground,1165,337501,0.34518416241729655
2018-03-01,2018,3,Strip,407,337501,0.12059223528226584
2018-03-01,2018,3,Triangle/Plaza,26652,337501,7.896865490768916
2018-03-01,2018,3,Undeveloped,3785,337501,1.1214781585832339
2018-03-01,2018,3,Waterfront Facility,863,337501,0.255702946065345
2018-04-01,2018,4,Buildings/Institutions,26445,522138,5.0647529963343025
2018-04-01,2018,4,Cemetery,191,522138,0.036580367642270815
2018-04-01,2018,4,Community Park,86823,522138,16.628362616779473
