park_name,park_type,borough,date,year,month,visitor_count
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-01-01,2018,1,114
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-02-01,2018,2,166
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-03-01,2018,3,197
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-04-01,2018,4,238
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-05-01,2018,5,245
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-06-01,2018,6,275
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-07-01,2018,7,210
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-08-01,2018,8,177
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-09-01,2018,9,208
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-10-01,2018,10,190
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-11-01,2018,11,214
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-12-01,2018,12,133
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-01-01,2019,1,122
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-02-01,2019,2,170
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-03-01,2019,3,176
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-04-01,2019,4,189
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-05-01,2019,5,210
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-06-01,2019,6,288
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-07-01,2019,7,225
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-08-01,2019,8,263
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-09-01,2019,9,267
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-10-01,2019,10,237
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-11-01,2019,11,196
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-12-01,2019,12,196
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-01-01,2020,1,202
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-02-01,2020,2,169
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-03-01,2020,3,178
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-04-01,2020,4,57
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-05-01,2020,5,117
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-06-01,2020,6,181
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-07-01,2020,7,163
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-08-01,2020,8,173
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-09-01,2020,9,178
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-10-01,2020,10,180
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-11-01,2020,11,128
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-12-01,2020,12,130
100% Playground,Jointly Operated Playground,Brooklyn,2018-01-01,2018,1,79
100% Playground,Jointly Operated Playground,Brooklyn,2018-02-01,2018,2,111
100% Playground,Jointly Operated Playground,Brooklyn,2018-03-01,2018,3,209
100% Playground,Jointly Operated Playground,Brooklyn,2018-04-01,2018,4,364
100% Playground,Jointly Operated Playground,Brooklyn,2018-05-01,2018,5,346
100% Playground,Jointly Operated Playground,Brooklyn,2018-06-01,2018,6,335
100% Playground,Jointly Operated Playground,Brooklyn,2018-07-01,2018,7,214
100% Playground,Jointly Operated Playground,Brooklyn,2018-08-01,2018,8,209
100% Playground,Jointly Operated Playground,Brooklyn,2018-09-01,2018,9,236
100% Playground,Jointly Operated Playground,Brooklyn,2018-10-01,2018,10,234
100% Playground,Jointly Operated Playground,Brooklyn,2018-11-01,2018,11,245
100% Playground,Jointly Operated Playground,Brooklyn,2018-12-01,2018,12,196
100% Playground,Jointly Operated Playground,Brooklyn,2019-01-01,2019,1,241
100% Playground,Jointly Operated Playground,Brooklyn,2019-02-01,2019,2,201
100% Playground,Jointly Operated Playground,Brooklyn,2019-03-01,2019,3,189
100% Playground,Jointly Operated Playground,Brooklyn,2019-04-01,2019,4,234
100% Playground,Jointly Operated Playground,Brooklyn,2019-05-01,2019,5,244
100% Playground,Jointly Operated Playground,Brooklyn,2019-06-01,2019,6,311
100% Playground,Jointly Operated Playground,Brooklyn,2019-07-01,2019,7,302
100% Playground,Jointly Operated Playground,Brooklyn,2019-08-01,2019,8,193
100% Playground,Jointly Operated Playground,Brooklyn,2019-09-01,2019,9,294
100% Playground,Jointly Operated Playground,Brooklyn,2019-10-01,2019,10,247
100% Playground,Jointly Operated Playground,Brooklyn,2019-11-01,2019,11,183
100% Playground,Jointly Operated Playground,Brooklyn,2019-12-01,2019,12,211
100% Playground,Jointly Operated Playground,Brooklyn,2020-01-01,2020,1,281
100% Playground,Jointly Operated Playground,Brooklyn,2020-02-01,2020,2,201
100% Playground,Jointly Operated Playground,Brooklyn,2020-03-01,2020,3,199
100% Playground,Jointly Operated Playground,Brooklyn,2020-04-01,2020,4,75
100% Playground,Jointly Operated Playground,Brooklyn,2020-05-01,2020,5,56
100% Playground,Jointly Operated Playground,Brooklyn,2020-06-01,2020,6,90
100% Playground,Jointly Operated Playground,Brooklyn,2020-07-01,2020,7,177
100% Playground,Jointly Operated Playground,Brooklyn,2020-08-01,2020,8,199
100% Playground,Jointly Operated Playground,Brooklyn,2020-09-01,2020,9,134
100% Playground,Jointly Operated Playground,Brooklyn,2020-10-01,2020,10,141
100% Playground,Jointly Operated Playground,Brooklyn,2020-11-01,2020,11,132
100% Playground,Jointly Operated Playground,Brooklyn,2020-12-01,2020,12,98
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-01-01,2018,1,114
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-02-01,2018,2,156
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-03-01,2018,3,173
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-04-01,2018,4,211
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-05-01,2018,5,266
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-06-01,2018,6,204
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-07-01,2018,7,239
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-08-01,2018,8,183
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-09-01,2018,9,189
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-10-01,2018,10,192
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-11-01,2018,11,238
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2018-12-01,2018,12,148
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-01-01,2019,1,197
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-02-01,2019,2,138
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-03-01,2019,3,207
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-04-01,2019,4,198
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-05-01,2019,5,195
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-06-01,2019,6,198
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-07-01,2019,7,154
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-08-01,2019,8,173
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-09-01,2019,9,203
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-10-01,2019,10,174
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-11-01,2019,11,180
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2019-12-01,2019,12,144
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2020-01-01,2020,1,140
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2020-02-01,2020,2,126
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2020-03-01,2020,3,102
14 Honey Locusts Park,Triangle/Plaza,Lower Manhattan,2020-04-01,2020,4,32
