date,year,month,park_type,visitor_count,visitor_count_monthly_total,fraction_to_monthly_total
2018-01-01,2018,1,Buildings/Institutions,18638,283607,6.571770090301015
2018-01-01,2018,1,Cemetery,79,283607,0.027855447855659417
2018-01-01,2018,1,Community Park,38710,283607,13.649169449273113
2018-01-01,2018,1,Flagship Park,46585,283607,16.42589921969486
2018-01-01,2018,1,Garden,5233,283607,1.8451589699831104
2018-01-01,2018,1,Historic House Park,963,283607,0.3395543833544306
2018-01-01,2018,1,Jointly Operated Playground,32517,283607,11.465513897752878
2018-01-01,2018,1,Lot,110,283607,0.03878606663446248
2018-01-01,2018,1,Nature Area,8175,283607,2.882509952152098
2018-01-01,2018,1,Neighborhood Park,57877,283607,20.40746526002532
2018-01-01,2018,1,Parkway,2558,283607,0.9019523495541365
2018-01-01,2018,1,Playground,32176,283607,11.345277091186043
2018-01-01,2018,1,Recreation Field/Courts,9885,283607,3.485456988015105
2018-01-01,2018,1,School Yard to Playground,924,283607,0.3258029597294848
2018-01-01,2018,1,Strip,345,283607,0.12164720898990504
2018-01-01,2018,1,Triangle/Plaza,25247,283607,8.902107493820674
2018-01-01,2018,1,Undeveloped,2997,283607,1.0567440154862187
2018-01-01,2018,1,Waterfront Facility,588,283607,0.2073291561914903
2018-02-01,2018,2,Buildings/Institutions,19669,304117,6.467576623470572
2018-02-01,2018,2,Cemetery,99,304117,0.03255326075161862
2018-02-01,2018,2,Community Park,42073,304117,13.834478177806567
2018-02-01,2018,2,Flagship Park,44909,304117,14.767014011054954
2018-02-01,2018,2,Garden,5548,304117,1.8242978853533345
2018-02-01,2018,2,Historic House Park,1056,304117,0.34723478135059865
2018-02-01,2018,2,Jointly Operated Playground,34441,304117,11.324917712590878
2018-02-01,2018,2,Lot,93,304117,0.03058033585758113
2018-02-01,2018,2,Nature Area,7582,304117,2.4931194244320443
2018-02-01,2018,2,Neighborhood Park,64893,304117,21.338169191462498
2018-02-01,2018,2,Parkway,2686,304117,0.8832127108974507
2018-02-01,2018,2,Playground,35625,304117,11.71424155834761
2018-02-01,2018,2,Recreation Field/Courts,11197,304117,3.6818066730896333
2018-02-01,2018,2,School Yard to Playground,943,304117,0.3100780291795592
2018-02-01,2018,2,Strip,363,304117,0.11936195608926826
2018-02-01,2018,2,Triangle/Plaza,29059,304117,9.555204082639248
2018-02-01,2018,2,Undeveloped,3181,304117,1.0459790146555439
2018-02-01,2018,2,Waterfront Facility,700,304117,0.23017457097104077
2018-03-01,2018,3,Buildings/Institutions,27729,429103,6.4620848607443895
2018-03-01,2018,3,Cemetery,123,429103,0.02866444653148545
2018-03-01,2018,3,Community Park,59164,429103,13.787831825925245
2018-03-01,2018,3,Flagship Park,69799,429103,16.266257751635386
2018-03-01,2018,3,Garden,8424,429103,1.9631650209856375
2018-03-01,2018,3,Historic House Park,1641,429103,0.3824256647005498
2018-03-01,2018,3,Jointly Operated Playground,49024,429103,11.424762819183274
2018-03-01,2018,3,Lot,228,429103,0.05313409600958278
2018-03-01,2018,3,Nature Area,10507,429103,2.44859625777494
2018-03-01,2018,3,Neighborhood Park,88635,429103,20.655879823725307
2018-03-01,2018,3,Parkway,3527,429103,0.8219471781833265
2018-03-01,2018,3,Playground,49989,429103,11.649650550101025
2018-03-01,2018,3,Recreation Field/Courts,15683,429103,3.6548334549047663
2018-03-01,2018,3,School Yard to Playground,1273,429103,0.2966653693868372
2018-03-01,2018,3,Strip,546,429103,0.12724217728610612
2018-03-01,2018,3,Triangle/Plaza,37079,429103,8.64104888569877
2018-03-01,2018,3,Undeveloped,4718,429103,1.0995029165491734
2018-03-01,2018,3,Waterfront Facility,1014,429103,0.2363069006741971
2018-04-01,2018,4,Buildings/Institutions,39392,649160,6.068149608725122
2018-04-01,2018,4,Cemetery,231,649160,0.035584447593813545
2018-04-01,2018,4,Community Park,108138,649160,16.658142830735105
2018-04-01,2018,4,Flagship Park,113249,649160,17.44546798940169
2018-04-01,2018,4,Garden,11712,649160,1.8041777065746505
2018-04-01,2018,4,Historic House Park,2285,649160,0.35199334524616427
2018-04-01,2018,4,Jointly Operated Playground,68779,649160,10.595076714523383
2018-04-01,2018,4,Lot,469,649160,0.07224721178137901
2018-04-01,2018,4,Nature Area,14462,649160,2.227802082691478
2018-04-01,2018,4,Neighborhood Park,129959,649160,20.019563743915214
2018-04-01,2018,4,Parkway,4611,649160,0.7103025448271613
2018-04-01,2018,4,Playground,74253,649160,11.438320290837389
2018-04-01,2018,4,Recreation Field/Courts,22463,649160,3.4603179493499296
2018-04-01,2018,4,School Yard to Playground,1630,649160,0.25109372111651984
2018-04-01,2018,4,Strip,755,649160,0.11630414689752912
2018-04-01,2018,4,Triangle/Plaza,48825,649160,7.52125824141968
2018-04-01,2018,4,Undeveloped,6458,649160,0.9948240803499908
2018-04-01,2018,4,Waterfront Facility,1489,649160,0.22937334401380247
2018-05-01,2018,5,Buildings/Institutions,39574,712117,5.557232870441234
2018-05-01,2018,5,Cemetery,216,712117,0.030332094304728018
2018-05-01,2018,5,Community Park,125962,712117,17.688385475982177
2018-05-01,2018,5,Flagship Park,134494,712117,18.886503201018932
2018-05-01,2018,5,Garden,11269,712117,1.5824646792591668
2018-05-01,2018,5,Historic House Park,2521,712117,0.35401485991768206
2018-05-01,2018,5,Jointly Operated Playground,71513,712117,10.042310463027846
2018-05-01,2018,5,Lot,468,712117,0.06571953766024403
2018-05-01,2018,5,Nature Area,12690,712117,1.782010540402771
2018-05-01,2018,5,Neighborhood Park,143607,712117,20.166208642680907
2018-05-01,2018,5,Parkway,5041,712117,0.7078892934728422
2018-05-01,2018,5,Playground,76593,712117,10.755676384639042
2018-05-01,2018,5,Recreation Field/Courts,23242,712117,3.263789517733743
2018-05-01,2018,5,School Yard to Playground,1854,712117,0.26035047611558215
2018-05-01,2018,5,Strip,535,712117,0.07512810394921059
2018-05-01,2018,5,Triangle/Plaza,52991,712117,7.441333376397417
2018-05-01,2018,5,Undeveloped,6401,712117,0.8988691465026113
2018-05-01,2018,5,Waterfront Facility,3146,712117,0.44178133649386264
2018-06-01,2018,6,Buildings/Institutions,43419,737385,5.8882402001668055
2018-06-01,2018,6,Cemetery,199,737385,0.02698725903022166
2018-06-01,2018,6,Community Park,130378,737385,17.681129938905727
2018-06-01,2018,6,Flagship Park,154731,737385,20.983746618116722
2018-06-01,2018,6,Garden,10321,737385,1.3996758816629034
2018-06-01,2018,6,Historic House Park,2752,737385,0.37321073794557796
2018-06-01,2018,6,Jointly Operated Playground,68942,737385,9.349525688751466
2018-06-01,2018,6,Lot,387,737385,0.0524827600235969
2018-06-01,2018,6,Nature Area,14306,737385,1.9400991341022669
2018-06-01,2018,6,Neighborhood Park,146556,737385,19.875099168005857
2018-06-01,2018,6,Parkway,4369,737385,0.5924991693620022
2018-06-01,2018,6,Playground,71941,737385,9.756233175342595
2018-06-01,2018,6,Recreation Field/Courts,22825,737385,3.0953979264563287
2018-06-01,2018,6,School Yard to Playground,1635,737385,0.22172949002217296
2018-06-01,2018,6,Strip,572,737385,0.07757141791601402
2018-06-01,2018,6,Triangle/Plaza,51871,737385,7.034452829932802
2018-06-01,2018,6,Undeveloped,6505,737385,0.8821714572441803
2018-06-01,2018,6,Waterfront Facility,5676,737385,0.7697471470127546
2018-07-01,2018,7,Buildings/Institutions,47055,668220,7.041842506958786
2018-07-01,2018,7,Cemetery,226,668220,0.03382119661189429
2018-07-01,2018,7,Community Park,131506,668220,19.680045493998982
2018-07-01,2018,7,Flagship Park,135031,668220,20.207566370357068
2018-07-01,2018,7,Garden,9027,668220,1.3509023974140253
2018-07-01,2018,7,Historic House Park,2289,668220,0.3425518541797612
2018-07-01,2018,7,Jointly Operated Playground,52082,668220,7.79413965460477
2018-07-01,2018,7,Lot,477,668220,0.07138367603483882
2018-07-01,2018,7,Nature Area,12023,668220,1.7992577294902876
2018-07-01,2018,7,Neighborhood Park,132787,668220,19.871748825237198
2018-07-01,2018,7,Parkway,4220,668220,0.6315285385052827
2018-07-01,2018,7,Playground,59601,668220,8.919367872856245
2018-07-01,2018,7,Recreation Field/Courts,18856,668220,2.821825147406543
2018-07-01,2018,7,School Yard to Playground,896,668220,0.13408757594804108
2018-07-01,2018,7,Strip,545,668220,0.08155996528089551
2018-07-01,2018,7,Triangle/Plaza,48438,668220,7.248810272066086
2018-07-01,2018,7,Undeveloped,5739,668220,0.8588488821046961
2018-07-01,2018,7,Waterfront Facility,7422,668220,1.1107120409445992
2018-08-01,2018,8,Buildings/Institutions,38664,624381,6.192372926146055
2018-08-01,2018,8,Cemetery,160,624381,0.025625379375733726
2018-08-01,2018,8,Community Park,118987,624381,19.05679384862768
2018-08-01,2018,8,Flagship Park,133893,624381,21.444118254719474
2018-08-01,2018,8,Garden,8390,624381,1.3437308310150373
2018-08-01,2018,8,Historic House Park,2023,624381,0.3240008904819333
2018-08-01,2018,8,Jointly Operated Playground,52893,624381,8.471269945754276
2018-08-01,2018,8,Lot,432,624381,0.06918852431448107
2018-08-01,2018,8,Nature Area,11692,624381,1.872574597881742
2018-08-01,2018,8,Neighborhood Park,122026,624381,19.54351589814552
2018-08-01,2018,8,Parkway,3871,624381,0.6199740222716579
2018-08-01,2018,8,Playground,56812,624381,9.098931581838652
2018-08-01,2018,8,Recreation Field/Courts,17425,624381,2.7907639726385014
2018-08-01,2018,8,School Yard to Playground,935,624381,0.14974831072694397
2018-08-01,2018,8,Strip,564,624381,0.09032946229946139
2018-08-01,2018,8,Triangle/Plaza,44523,624381,7.130742287161204
2018-08-01,2018,8,Undeveloped,5447,624381,0.8723840091226351
2018-08-01,2018,8,Waterfront Facility,5644,624381,0.9039352574790072
2018-09-01,2018,9,Buildings/Institutions,30671,598487,5.1247562603698995
2018-09-01,2018,9,Cemetery,238,598487,0.039766945647942226
2018-09-01,2018,9,Community Park,101676,598487,16.988840192017538
2018-09-01,2018,9,Flagship Park,121948,598487,20.37604826838344
2018-09-01,2018,9,Garden,9048,598487,1.5118122866495012
2018-09-01,2018,9,Historic House Park,2016,598487,0.33684942195904005
2018-09-01,2018,9,Jointly Operated Playground,62050,598487,10.367810829642082
2018-09-01,2018,9,Lot,362,598487,0.060485858506533985
2018-09-01,2018,9,Nature Area,12237,598487,2.044655940730542
2018-09-01,2018,9,Neighborhood Park,122981,598487,20.54865017953606
2018-09-01,2018,9,Parkway,3865,598487,0.6457951467617509
2018-09-01,2018,9,Playground,58088,598487,9.70580814620869
2018-09-01,2018,9,Recreation Field/Courts,18482,598487,3.088120543971715
2018-09-01,2018,9,School Yard to Playground,1459,598487,0.24378140210230131
2018-09-01,2018,9,Strip,476,598487,0.07953389129588445
2018-09-01,2018,9,Triangle/Plaza,43878,598487,7.331487567816845
2018-09-01,2018,9,Undeveloped,5637,598487,0.941875095031304
2018-09-01,2018,9,Waterfront Facility,3375,598487,0.5639220233689286
2018-10-01,2018,10,Buildings/Institutions,30543,594735,5.135564579182325
2018-10-01,2018,10,Cemetery,260,594735,0.04371694956577299
2018-10-01,2018,10,Community Park,94555,594735,15.898677562275635
2018-10-01,2018,10,Flagship Park,91810,594735,15.437127460129302
2018-10-01,2018,10,Garden,9655,594735,1.6234121079136088
2018-10-01,2018,10,Historic House Park,2312,594735,0.3887445669079506
2018-10-01,2018,10,Jointly Operated Playground,80848,594735,13.593953609590825
2018-10-01,2018,10,Lot,404,594735,0.06792941394066265
2018-10-01,2018,10,Nature Area,13243,594735,2.226706011921276
2018-10-01,2018,10,Neighborhood Park,127681,594735,21.468553221182543
2018-10-01,2018,10,Parkway,4433,594735,0.7453739900964296
2018-10-01,2018,10,Playground,65406,594735,10.997503089611339
2018-10-01,2018,10,Recreation Field/Courts,19682,594735,3.3093730821290155
2018-10-01,2018,10,School Yard to Playground,1709,594735,0.28735487233810014
2018-10-01,2018,10,Strip,519,594735,0.08726575701783147
2018-10-01,2018,10,Triangle/Plaza,44287,594735,7.446509790074571
2018-10-01,2018,10,Undeveloped,5944,594735,0.9994367239190564
2018-10-01,2018,10,Waterfront Facility,1444,594735,0.24279721220375464
2018-11-01,2018,11,Buildings/Institutions,29104,632562,4.600971920539014
2018-11-01,2018,11,Cemetery,190,632562,0.03003658139439296
2018-11-01,2018,11,Community Park,96390,632562,15.238032003187039
2018-11-01,2018,11,Flagship Park,79159,632562,12.514030245256592
2018-11-01,2018,11,Garden,10336,632562,1.633990027854977
2018-11-01,2018,11,Historic House Park,2167,632562,0.34257511516657657
2018-11-01,2018,11,Jointly Operated Playground,113789,632562,17.988592422560952
2018-11-01,2018,11,Lot,323,632562,0.05106218837046803
2018-11-01,2018,11,Nature Area,13546,632562,2.1414501661497214
2018-11-01,2018,11,Neighborhood Park,147819,632562,23.368302237567224
2018-11-01,2018,11,Parkway,4652,632562,0.7354219823511371
2018-11-01,2018,11,Playground,67209,632562,10.624887362819772
2018-11-01,2018,11,Recreation Field/Courts,17894,632562,2.82881361826983
2018-11-01,2018,11,School Yard to Playground,1919,632562,0.3033694720833689
2018-11-01,2018,11,Strip,548,632562,0.08663182423224917
2018-11-01,2018,11,Triangle/Plaza,40777,632562,6.4463246290482195
2018-11-01,2018,11,Undeveloped,5442,632562,0.860310926043613
2018-11-01,2018,11,Waterfront Facility,1298,632562,0.20519727710485297
2018-12-01,2018,12,Buildings/Institutions,34451,592171,5.81774521210934
2018-12-01,2018,12,Cemetery,185,592171,0.03124097600186433
2018-12-01,2018,12,Community Park,75413,592171,12.735003909343753
2018-12-01,2018,12,Flagship Park,75907,592171,12.818425758775758
2018-12-01,2018,12,Garden,8981,592171,1.5166227322851
2018-12-01,2018,12,Historic House Park,5365,592171,0.9059883040540655
2018-12-01,2018,12,Jointly Operated Playground,80802,592171,13.645045096771033
2018-12-01,2018,12,Lot,303,592171,0.051167652586837246
2018-12-01,2018,12,Nature Area,13969,592171,2.3589469933515828
2018-12-01,2018,12,Neighborhood Park,167084,592171,28.215498563759457
2018-12-01,2018,12,Parkway,7039,592171,1.1886769193358
2018-12-01,2018,12,Playground,54560,592171,9.213554868441717
2018-12-01,2018,12,Recreation Field/Courts,15363,592171,2.594351969279144
2018-12-01,2018,12,School Yard to Playground,1577,592171,0.2663082116483246
2018-12-01,2018,12,Strip,537,592171,0.09068326547568185
2018-12-01,2018,12,Triangle/Plaza,44821,592171,7.568928569619249
