park_name,park_type,borough,date,year,month,raw_visitor_counts
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-01-01,2018,1,124
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-02-01,2018,2,172
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-03-01,2018,3,210
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-04-01,2018,4,310
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-05-01,2018,5,307
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-06-01,2018,6,309
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-07-01,2018,7,264
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-08-01,2018,8,238
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-09-01,2018,9,262
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-10-01,2018,10,239
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-11-01,2018,11,242
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2018-12-01,2018,12,218
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-01-01,2019,1,193
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-02-01,2019,2,204
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-03-01,2019,3,232
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-04-01,2019,4,266
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-05-01,2019,5,285
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-06-01,2019,6,320
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-07-01,2019,7,279
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-08-01,2019,8,268
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-09-01,2019,9,323
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-10-01,2019,10,295
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-11-01,2019,11,209
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2019-12-01,2019,12,230
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-01-01,2020,1,254
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-02-01,2020,2,242
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-03-01,2020,3,215
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-04-01,2020,4,103
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-05-01,2020,5,147
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-06-01,2020,6,210
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-07-01,2020,7,196
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-08-01,2020,8,221
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-09-01,2020,9,228
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-10-01,2020,10,203
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-11-01,2020,11,178
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,2020-12-01,2020,12,160
100% Playground,Jointly Operated Playground,Brooklyn,2018-01-01,2018,1,127
100% Playground,Jointly Operated Playground,Brooklyn,2018-02-01,2018,2,143
100% Playground,Jointly Operated Playground,Brooklyn,2018-03-01,2018,3,261
100% Playground,Jointly Operated Playground,Brooklyn,2018-04-01,2018,4,388
100% Playground,Jointly Operated Playground,Brooklyn,2018-05-01,2018,5,446
100% Playground,Jointly Operated Playground,Brooklyn,2018-06-01,2018,6,388
100% Playground,Jointly Operated Playground,Brooklyn,2018-07-01,2018,7,339
100% Playground,Jointly Operated Playground,Brooklyn,2018-08-01,2018,8,322
100% Playground,Jointly Operated Playground,Brooklyn,2018-09-01,2018,9,349
100% Playground,Jointly Operated Playground,Brooklyn,2018-10-01,2018,10,315
100% Playground,Jointly Operated Playground,Brooklyn,2018-11-01,2018,11,299
100% Playground,Jointly Operated Playground,Brooklyn,2018-12-01,2018,12,285
100% Playground,Jointly Operated Playground,Brooklyn,2019-01-01,2019,1,287
100% Playground,Jointly Operated Playground,Brooklyn,2019-02-01,2019,2,228
100% Playground,Jointly Operated Playground,Brooklyn,2019-03-01,2019,3,246
100% Playground,Jointly Operated Playground,Brooklyn,2019-04-01,2019,4,317
100% Playground,Jointly Operated Playground,Brooklyn,2019-05-01,2019,5,319
100% Playground,Jointly Operated Playground,Brooklyn,2019-06-01,2019,6,323
100% Playground,Jointly Operated Playground,Brooklyn,2019-07-01,2019,7,313
100% Playground,Jointly Operated Playground,Brooklyn,2019-08-01,2019,8,246
100% Playground,Jointly Operated Playground,Brooklyn,2019-09-01,2019,9,346
100% Playground,Jointly Operated Playground,Brooklyn,2019-10-01,2019,10,271
100% Playground,Jointly Operated Playground,Brooklyn,2019-11-01,2019,11,249
100% Playground,Jointly Operated Playground,Brooklyn,2019-12-01,2019,12,288
100% Playground,Jointly Operated Playground,Brooklyn,2020-01-01,2020,1,339
100% Playground,Jointly Operated Playground,Brooklyn,2020-02-01,2020,2,274
100% Playground,Jointly Operated Playground,Brooklyn,2020-03-01,2020,3,236
100% Playground,Jointly Operated Playground,Brooklyn,2020-04-01,2020,4,85
100% Playground,Jointly Operated Playground,Brooklyn,2020-05-01,2020,5,102
