date,year,month,park_type,raw_visitor_counts,raw_visitor_counts_monthly_total,fraction_to_monthly_total
2018-01-01,2018,1,Buildings/Institutions,26533,345785,7.673265179229868
2018-01-01,2018,1,Cemetery,96,345785,0.027762916262995794
2018-01-01,2018,1,Community Park,45695,345785,13.214858944141591
2018-01-01,2018,1,Flagship Park,57164,345785,16.53165984643637
2018-01-01,2018,1,Garden,6351,345785,1.8366904290238153
2018-01-01,2018,1,Historic House Park,1152,345785,0.3331549951559495
2018-01-01,2018,1,Jointly Operated Playground,38624,345785,11.169946643145307
2018-01-01,2018,1,Lot,149,345785,0.043090359616524715
2018-01-01,2018,1,Nature Area,9459,345785,2.7355148430383043
2018-01-01,2018,1,Neighborhood Park,71297,345785,20.618881675029282
2018-01-01,2018,1,Parkway,3202,345785,0.9260089361886721
2018-01-01,2018,1,Playground,38223,345785,11.053978628338418
2018-01-01,2018,1,Recreation Field/Courts,11425,345785,3.304076232340906
2018-01-01,2018,1,School Yard to Playground,1125,345785,0.32534667495698194
2018-01-01,2018,1,Strip,380,345785,0.10989487687435835
2018-01-01,2018,1,Triangle/Plaza,30806,345785,8.909004149977587
2018-01-01,2018,1,Undeveloped,3406,345785,0.9850051332475382
2018-01-01,2018,1,Waterfront Facility,698,345785,0.2018595369955319
2018-02-01,2018,2,Buildings/Institutions,27956,379060,7.375085738405529
2018-02-01,2018,2,Cemetery,122,379060,0.032184878383369385
2018-02-01,2018,2,Community Park,50441,379060,13.306864348651928
2018-02-01,2018,2,Flagship Park,56682,379060,14.953305545296258
2018-02-01,2018,2,Garden,7036,379060,1.856170527093336
2018-02-01,2018,2,Historic House Park,1360,379060,0.358782250831003
2018-02-01,2018,2,Jointly Operated Playground,42147,379060,11.118820239539914
2018-02-01,2018,2,Lot,166,379060,0.043792539439666545
2018-02-01,2018,2,Nature Area,9005,379060,2.375613359362634
2018-02-01,2018,2,Neighborhood Park,80978,379060,21.362844932200705
2018-02-01,2018,2,Parkway,3472,379060,0.9159499815332666
2018-02-01,2018,2,Playground,44268,379060,11.678362264549149
2018-02-01,2018,2,Recreation Field/Courts,13294,379060,3.507096501873054
2018-02-01,2018,2,School Yard to Playground,1095,379060,0.28887247401466787
2018-02-01,2018,2,Strip,512,379060,0.13507096501873056
2018-02-01,2018,2,Triangle/Plaza,35935,379060,9.480029546773599
2018-02-01,2018,2,Undeveloped,3824,379060,1.0088112699836438
2018-02-01,2018,2,Waterfront Facility,767,379060,0.2023426370495436
2018-03-01,2018,3,Buildings/Institutions,43383,589663,7.357253210732232
2018-03-01,2018,3,Cemetery,184,589663,0.031204264130528795
2018-03-01,2018,3,Community Park,79388,589663,13.463283265187066
2018-03-01,2018,3,Flagship Park,102397,589663,17.36534257703129
2018-03-01,2018,3,Garden,11516,589663,1.9529799224302695
2018-03-01,2018,3,Historic House Park,2035,589663,0.34511237774796794
2018-03-01,2018,3,Jointly Operated Playground,64224,589663,10.891644888690658
2018-03-01,2018,3,Lot,308,589663,0.052233224740232974
2018-03-01,2018,3,Nature Area,13754,589663,2.3325187437570274
2018-03-01,2018,3,Neighborhood Park,121702,589663,20.639246484856606
2018-03-01,2018,3,Parkway,5099,589663,0.8647312108780778
2018-03-01,2018,3,Playground,68185,589663,11.563384509457096
2018-03-01,2018,3,Recreation Field/Courts,19920,589663,3.3782007689137696
2018-03-01,2018,3,School Yard to Playground,1678,589663,0.28456932179906147
2018-03-01,2018,3,Strip,730,589663,0.12379952617003272
2018-03-01,2018,3,Triangle/Plaza,47908,589663,8.124640684594421
2018-03-01,2018,3,Undeveloped,6152,589663,1.0433077876685497
2018-03-01,2018,3,Waterfront Facility,1100,589663,0.1865472312151178
2018-04-01,2018,4,Buildings/Institutions,63470,892882,7.108442100971909
2018-04-01,2018,4,Cemetery,268,892882,0.030015164377823724
2018-04-01,2018,4,Community Park,143313,892882,16.050609151041233
2018-04-01,2018,4,Flagship Park,170127,892882,19.0536935451717
2018-04-01,2018,4,Garden,15314,892882,1.7151202510522108
2018-04-01,2018,4,Historic House Park,2791,892882,0.3125832976809926
2018-04-01,2018,4,Jointly Operated Playground,88506,892882,9.912396038894277
2018-04-01,2018,4,Lot,614,892882,0.06876608555217822
2018-04-01,2018,4,Nature Area,21015,892882,2.3536144753730057
2018-04-01,2018,4,Neighborhood Park,176834,892882,19.804856632791342
2018-04-01,2018,4,Parkway,6515,892882,0.7296596862743341
2018-04-01,2018,4,Playground,97790,892882,10.952175091445454
2018-04-01,2018,4,Recreation Field/Courts,29317,892882,3.2834125897935005
2018-04-01,2018,4,School Yard to Playground,2082,892882,0.23317750833816786
2018-04-01,2018,4,Strip,985,892882,0.11031692877670285
2018-04-01,2018,4,Triangle/Plaza,63743,892882,7.1390172497597675
2018-04-01,2018,4,Undeveloped,8372,892882,0.9376378961609708
2018-04-01,2018,4,Waterfront Facility,1826,892882,0.20450630654442578
2018-05-01,2018,5,Buildings/Institutions,66505,986495,6.741544559272981
2018-05-01,2018,5,Cemetery,296,986495,0.030005220502891547
2018-05-01,2018,5,Community Park,165677,986495,16.794509855599877
