year,park_type,raw_visit_counts,raw_visit_counts_annual_total,fraction_to_annual_total
2018,Buildings/Institutions,1039123,18612433,5.582950923181295
2018,Cemetery,6117,18612433,0.032865128379508474
2018,Community Park,2830131,18612433,15.205594024166535
2018,Flagship Park,3040351,18612433,16.335054100664863
2018,Garden,353519,18612433,1.8993701683170598
2018,Historic House Park,54390,18612433,0.29222402036316264
2018,Jointly Operated Playground,2632818,18612433,14.145480067006822
2018,Lot,10640,18612433,0.05716608892561225
2018,Nature Area,480693,18612433,2.582644622548809
2018,Neighborhood Park,3998291,18612433,21.48182883989428
2018,Parkway,133304,18612433,0.7162094283965992
2018,Playground,2155949,18612433,11.583380850853835
2018,Recreation Field/Courts,584253,18612433,3.1390468940841854
2018,School Yard to Playground,62215,18612433,0.33426581038599307
2018,Strip,12566,18612433,0.06751401066158304
2018,Triangle/Plaza,984729,18612433,5.2907054118072585
2018,Undeveloped,172278,18612433,0.9256070928502469
2018,Waterfront Facility,61066,18612433,0.3280925175123532
2019,Buildings/Institutions,965366,20913290,4.616040804674922
2019,Cemetery,5433,20913290,0.025978695843647745
2019,Community Park,3285743,20913290,15.711267811042642
2019,Flagship Park,3277968,20913290,15.674090494608931
2019,Garden,299678,20913290,1.4329548339835578
2019,Historic House Park,60353,20913290,0.28858682684551307
2019,Jointly Operated Playground,2924808,20913290,13.985403540045588
2019,Lot,8616,20913290,0.04119868275149439
2019,Nature Area,550484,20913290,2.6322209465846838
2019,Neighborhood Park,4704165,20913290,22.493663120436814
2019,Parkway,134989,20913290,0.6454699380154916
2019,Playground,2357716,20913290,11.273768976569444
2019,Recreation Field/Courts,733724,20913290,3.5084102023163264
2019,School Yard to Playground,72479,20913290,0.3465690955368572
2019,Strip,12333,20913290,0.05897206991343781
2019,Triangle/Plaza,1272079,20913290,6.082634535264418
2019,Undeveloped,172325,20913290,0.8239975632719672
2019,Waterfront Facility,75031,20913290,0.3587718622942636
2020,Buildings/Institutions,294700,10279798,2.866787849333226
2020,Cemetery,5382,10279798,0.05235511437092441
2020,Community Park,1786854,10279798,17.382189805675168
2020,Flagship Park,1380409,10279798,13.428366977639056
2020,Garden,154991,10279798,1.507724179015969
2020,Historic House Park,38281,10279798,0.37239058588505336
2020,Jointly Operated Playground,1411035,10279798,13.726291119728229
2020,Lot,3173,10279798,0.030866365272936295
2020,Nature Area,535313,10279798,5.207427227655641
2020,Neighborhood Park,2118963,10279798,20.612885583938517
2020,Parkway,106115,10279798,1.0322673655649655
2020,Playground,1375563,10279798,13.381225973506483
2020,Recreation Field/Courts,469251,10279798,4.564788140778642
2020,School Yard to Playground,29662,10279798,0.2885465259142252
2020,Strip,7640,10279798,0.07432052653174703
2020,Triangle/Plaza,398149,10279798,3.873120853152951
2020,Undeveloped,80809,10279798,0.7860952131549667
2020,Waterfront Facility,83508,10279798,0.8123505928812998
