park_name,park_type,borough,month,visitor_count_2019,TAVG_2019,visitor_count_2020,TAVG_2020,visits_adj_rate,visits_base_adjtd,visit_change_rate
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,1,122.0,-0.3230769230769231,202.0,3.085714285714286,0.1537946859263306,140.76295168301235,43.50366881684104
Abigail Playground,Playground,Bronx,1,430.0,-0.3230769230769231,459.0,3.085714285714286,0.1537946859263306,496.13171494832216,-7.484245378707517
Admiral Farragut Playground,Playground,Bronx,1,336.0,-0.3230769230769231,350.0,3.085714285714286,0.1537946859263306,387.6750144712471,-9.718195154421377
American Playground,Playground,Brooklyn,1,36.0,-0.3230769230769231,52.0,3.085714285714286,0.1537946859263306,41.5366086933479,25.190769385869032
Annunciation Park,Playground,Upper Manhattan,1,315.0,-0.3230769230769231,326.0,3.085714285714286,0.1537946859263306,363.44532606679417,-10.3028773191356
Arverne Playground,Playground,Queens,1,158.0,-0.3230769230769231,195.0,3.085714285714286,0.1537946859263306,182.29956037636023,6.96679662716658
Astoria Health Playground,Playground,Queens,1,145.0,-0.3230769230769231,143.0,3.085714285714286,0.1537946859263306,167.30022945931793,-14.52492297102735
Bailey Playground,Playground,Bronx,1,205.0,-0.3230769230769231,192.0,3.085714285714286,0.1537946859263306,236.52791061489776,-18.82564746762413
Bath Beach Park,Playground,Brooklyn,1,227.0,-0.3230769230769231,329.0,3.085714285714286,0.1537946859263306,261.911393705277,25.615001067962805
Beach 59th St Playground,Playground,Queens,1,102.0,-0.3230769230769231,113.0,3.085714285714286,0.1537946859263306,117.68705796448572,-3.982645199525784
Beanstalk Playground,Playground,Bronx,1,535.0,-0.3230769230769231,462.0,3.085714285714286,0.1537946859263306,617.2801569705869,-25.155540027829844
Bedford Playground,Playground,Brooklyn,1,159.0,-0.3230769230769231,142.0,3.085714285714286,0.1537946859263306,183.45335506228656,-22.596128072017112
Behagen Playground,Playground,Bronx,1,503.0,-0.3230769230769231,571.0,3.085714285714286,0.1537946859263306,580.3587270209443,-1.6125762541702244
Benninger Playground,Playground,Queens,1,245.0,-0.3230769230769231,249.0,3.085714285714286,0.1537946859263306,282.679698051951,-11.91443824372606
Berry Playground,Playground,Brooklyn,1,111.0,-0.3230769230769231,72.0,3.085714285714286,0.1537946859263306,128.0712101378227,-43.78127611778023
Bill Bojangles Robinson Playground,Playground,Upper Manhattan,1,277.0,-0.3230769230769231,379.0,3.085714285714286,0.1537946859263306,319.6011280015936,18.585313628214188
Brevoort Playground,Playground,Brooklyn,1,217.0,-0.3230769230769231,273.0,3.085714285714286,0.1537946859263306,250.3734468460137,9.037121723176258
Bridge Playground,Playground,Bronx,1,403.0,-0.3230769230769231,453.0,3.085714285714286,0.1537946859263306,464.97925842831125,-2.576299525446073
Brighton Playground,Playground,Brooklyn,1,352.0,-0.3230769230769231,519.0,3.085714285714286,0.1537946859263306,406.1357294460684,27.789791040514483
Brizzi Playground,Playground,Brooklyn,1,262.0,-0.3230769230769231,319.0,3.085714285714286,0.1537946859263306,302.2942077126986,5.526335556908398
Bufano Park,Playground,Bronx,1,122.0,-0.3230769230769231,150.0,3.085714285714286,0.1537946859263306,140.76295168301235,6.562130309535422
Captain Jacob Joseph Playground,Playground,Lower Manhattan,1,209.0,-0.3230769230769231,169.0,3.085714285714286,0.1537946859263306,241.1430893586031,-29.91712909977667
Captain Rivera Playground,Playground,Bronx,1,389.0,-0.3230769230769231,487.0,3.085714285714286,0.1537946859263306,448.8261328253426,8.505268384074348
Carmansville Playground,Playground,Upper Manhattan,1,253.0,-0.3230769230769231,344.0,3.085714285714286,0.1537946859263306,291.9100555393616,17.844518704363196
Classon Playground,Playground,Brooklyn,1,194.0,-0.3230769230769231,215.0,3.085714285714286,0.1537946859263306,223.83616906970812,-3.947605566353464
Cleopatra Playground,Playground,Bronx,1,390.0,-0.3230769230769231,338.0,3.085714285714286,0.1537946859263306,449.97992751126895,-24.88553836847858
Coleman Playground,Playground,Lower Manhattan,1,615.0,-0.3230769230769231,620.0,3.085714285714286,0.1537946859263306,709.5837318446934,-12.62482887140098
Colonel David Marcus Playground,Playground,Brooklyn,1,280.0,-0.3230769230769231,454.0,3.085714285714286,0.1537946859263306,323.0625120593726,40.53007794248924
Columbus Park,Playground,Lower Manhattan,1,370.0,-0.3230769230769231,727.0,3.085714285714286,0.1537946859263306,426.9040337927423,70.2958844265574
Courtney Callender Playground,Playground,Upper Manhattan,1,361.0,-0.3230769230769231,533.0,3.085714285714286,0.1537946859263306,416.5198816194053,27.965080064780263
Crack Is Wack Playground,Playground,Upper Manhattan,1,269.0,-0.3230769230769231,274.0,3.085714285714286,0.1537946859263306,310.37077051418294,-11.718490904903335
Crispus Attucks Playground,Playground,Brooklyn,1,252.0,-0.3230769230769231,270.0,3.085714285714286,0.1537946859263306,290.7562608534353,-7.13871501597627
Curtis Playground,Playground,Brooklyn,1,128.0,-0.3230769230769231,163.0,3.085714285714286,0.1537946859263306,147.68571979857032,10.369506423719873
D'Emic Playground,Playground,Brooklyn,1,236.0,-0.3230769230769231,277.0,3.085714285714286,0.1537946859263306,272.295545878614,1.727701459899451
Dan Ross Playground,Playground,Brooklyn,1,198.0,-0.3230769230769231,174.0,3.085714285714286,0.1537946859263306,228.45134781341343,-23.83498645754821
Daniel Boone Playground,Playground,Bronx,1,585.0,-0.3230769230769231,392.0,3.085714285714286,0.1537946859263306,674.9698912669035,-41.92333538549035
Davidson Playground,Playground,Bronx,1,116.0,-0.3230769230769231,114.0,3.085714285714286,0.1537946859263306,133.84018356745435,-14.82378687672306
De Witt Clinton Park,Playground,Lower Manhattan,1,516.0,-0.3230769230769231,402.0,3.085714285714286,0.1537946859263306,595.3580579379866,-32.477608282934675
DeSalvio Playground,Playground,Lower Manhattan,1,97.0,-0.3230769230769231,66.0,3.085714285714286,0.1537946859263306,111.91808453485407,-41.0282973709705
Drew Playground,Playground,Bronx,1,318.0,-0.3230769230769231,295.0,3.085714285714286,0.1537946859263306,366.9067101245731,-19.59809077903186
Ehrenreich-Austin Playground,Playground,Queens,1,330.0,-0.3230769230769231,534.0,3.085714285714286,0.1537946859263306,380.7522463556891,40.24868010920432
Elizabeth Stroud Playground,Playground,Brooklyn,1,1258.0,-0.3230769230769231,1272.0,3.085714285714286,0.1537946859263306,1451.4737148953238,-12.364930418892705
Elton Playground,Playground,Brooklyn,1,141.0,-0.3230769230769231,153.0,3.085714285714286,0.1537946859263306,162.68505071561262,-5.953251803414264
Ennis Playground,Playground,Brooklyn,1,79.0,-0.3230769230769231,70.0,3.085714285714286,0.1537946859263306,91.14978018818012,-23.203325498444507
Epiphany Playground,Playground,Brooklyn,1,220.0,-0.3230769230769231,159.0,3.085714285714286,0.1537946859263306,253.83483090379272,-37.36084231077672
Flynn Playground,Playground,Bronx,1,278.0,-0.3230769230769231,308.0,3.085714285714286,0.1537946859263306,320.7549226875199,-3.9765321699975256
Fordham Landing Playground,Playground,Bronx,1,399.0,-0.3230769230769231,375.0,3.085714285714286,0.1537946859263306,460.36407968460594,-18.542732470154625
Fort Independence Playground,Playground,Bronx,1,128.0,-0.3230769230769231,92.0,3.085714285714286,0.1537946859263306,147.68571979857032,-37.705554656550746
Fox Playground,Playground,Bronx,1,380.0,-0.3230769230769231,406.0,3.085714285714286,0.1537946859263306,438.4419806520056,-7.399378272071769
Freedom Square Playground,Playground,Queens,1,131.0,-0.3230769230769231,147.0,3.085714285714286,0.1537946859263306,151.1471038563493,-2.7437534365797207
Galileo Playground,Playground,Bronx,1,232.0,-0.3230769230769231,215.0,3.085714285714286,0.1537946859263306,267.6803671349087,-19.68032534427832
Garibaldi Playground,Playground,Brooklyn,1,176.0,-0.3230769230769231,316.0,3.085714285714286,0.1537946859263306,203.06786472303415,55.61300180656099
Garrison Playground,Playground,Bronx,1,304.0,-0.3230769230769231,363.0,3.085714285714286,0.1537946859263306,350.7535845216045,3.491458396668549
Gene Gray Playground,Playground,Queens,1,87.0,-0.3230769230769231,143.0,3.085714285714286,0.1537946859263306,100.38013767559076,42.45846171495442
Gouverneur Playground,Playground,Bronx,1,453.0,-0.3230769230769231,516.0,3.085714285714286,0.1537946859263306,522.6689927246277,-1.2759495622387826
Grand Playground,Playground,Bronx,1,214.0,-0.3230769230769231,158.0,3.085714285714286,0.1537946859263306,246.91206278823475,-36.00960673375063
Greenpoint Playground,Playground,Brooklyn,1,146.0,-0.3230769230769231,128.0,3.085714285714286,0.1537946859263306,168.45402414524426,-24.01487548339245
Gun Hill Playground,Playground,Bronx,1,218.0,-0.3230769230769231,217.0,3.085714285714286,0.1537946859263306,251.5272415319401,-13.727038598940638
Half-Nelson Playground,Playground,Bronx,1,216.0,-0.3230769230769231,206.0,3.085714285714286,0.1537946859263306,249.2196521600874,-17.34199200804801
Harry Chapin Playground,Playground,Brooklyn,1,191.0,-0.3230769230769231,122.0,3.085714285714286,0.1537946859263306,220.37478501192916,-44.63976448421901
Havemeyer Playground,Playground,Bronx,1,264.0,-0.3230769230769231,284.0,3.085714285714286,0.1537946859263306,304.60179708455127,-6.763517904929703
Heckscher Playground,Playground,Brooklyn,1,342.0,-0.3230769230769231,411.0,3.085714285714286,0.1537946859263306,394.59778258680507,4.156692748162292
Hines Park,Playground,Bronx,1,617.0,-0.3230769230769231,483.0,3.085714285714286,0.1537946859263306,711.891321216546,-32.15256520130001
Homecrest Playground,Playground,Brooklyn,1,393.0,-0.3230769230769231,386.0,3.085714285714286,0.1537946859263306,453.4413115690479,-14.873217293695628
Horseshoe Playground,Playground,Bronx,1,374.0,-0.3230769230769231,895.0,3.085714285714286,0.1537946859263306,431.5192125364477,107.406755944709
Imagination Playground,Playground,Lower Manhattan,1,209.0,-0.3230769230769231,236.0,3.085714285714286,0.1537946859263306,241.1430893586031,-2.132795665960319
Jaime Campiz Playground,Playground,Brooklyn,1,226.0,-0.3230769230769231,296.0,3.085714285714286,0.1537946859263306,260.7575990193507,13.515387897874437
Jennie Jerome Playground,Playground,Bronx,1,459.0,-0.3230769230769231,556.0,3.085714285714286,0.1537946859263306,529.5917608401858,4.986527569446726
John Allen Payne Park,Playground,Brooklyn,1,208.0,-0.3230769230769231,276.0,3.085714285714286,0.1537946859263306,239.9892946726768,15.005129864829389
Josephine Caminiti Playground,Playground,Queens,1,426.0,-0.3230769230769231,518.0,3.085714285714286,0.1537946859263306,491.5165362046168,5.388112473261362
Kolbert Playground,Playground,Brooklyn,1,754.0,-0.3230769230769231,1038.0,3.085714285714286,0.1537946859263306,869.9611931884533,19.3156669662098
Lefferts Playground,Playground,Queens,1,511.0,-0.3230769230769231,384.0,3.085714285714286,0.1537946859263306,589.589084508355,-34.86989327147925
Levy Playground,Playground,Staten Island,1,327.0,-0.3230769230769231,363.0,3.085714285714286,0.1537946859263306,377.2908622979101,-3.7877573315374913
Lewis Playground,Playground,Brooklyn,1,248.0,-0.3230769230769231,257.0,3.085714285714286,0.1537946859263306,286.14108210973,-10.184165760075976
Linwood Playground,Playground,Brooklyn,1,170.0,-0.3230769230769231,168.0,3.085714285714286,0.1537946859263306,196.1450966074762,-14.349120673559288
Lion's Pride Playground,Playground,Brooklyn,1,172.0,-0.3230769230769231,162.0,3.085714285714286,0.1537946859263306,198.4526859793289,-18.368451804741927
