park_name,park_type,borough,month,raw_visitor_counts_2019,TAVG_2019,raw_visitor_counts_2020,TAVG_2020,visits_adj_rate,visits_base_adjtd,visit_change_rate
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,1,193.0,-0.3230769230769231,254.0,3.085714285714286,0.1665500783818733,225.1441651277016,12.816603466464
Abigail Playground,Playground,Bronx,1,563.0,-0.3230769230769231,588.0,3.085714285714286,0.1665500783818733,656.7676941289948,-10.470626789917626
Admiral Farragut Playground,Playground,Bronx,1,433.0,-0.3230769230769231,519.0,3.085714285714286,0.1665500783818733,505.1161839393512,2.748638135561272
American Playground,Playground,Brooklyn,1,60.0,-0.3230769230769231,89.0,3.085714285714286,0.1665500783818733,69.9930047029124,27.1555641563945
Annunciation Park,Playground,Upper Manhattan,1,391.0,-0.3230769230769231,403.0,3.085714285714286,0.1665500783818733,456.1210806473125,-11.646267384073711
Arverne Playground,Playground,Queens,1,249.0,-0.3230769230769231,224.0,3.085714285714286,0.1665500783818733,290.4709695170865,-22.883859832049904
Astoria Health Playground,Playground,Queens,1,191.0,-0.3230769230769231,183.0,3.085714285714286,0.1665500783818733,222.81106497093785,-17.86763371744152
Bailey Playground,Playground,Bronx,1,268.0,-0.3230769230769231,236.0,3.085714285714286,0.1665500783818733,312.6354210063421,-24.51271220633297
Bath Beach Park,Playground,Brooklyn,1,324.0,-0.3230769230769231,404.0,3.085714285714286,0.1665500783818733,377.962225395727,6.888988595887175
Beach 59th St Playground,Playground,Queens,1,146.0,-0.3230769230769231,137.0,3.085714285714286,0.1665500783818733,170.3163114437535,-19.56143317180523
Beanstalk Playground,Playground,Bronx,1,793.0,-0.3230769230769231,677.0,3.085714285714286,0.1665500783818733,925.0742121568256,-26.816682261462734
Bedford Playground,Playground,Brooklyn,1,196.0,-0.3230769230769231,191.0,3.085714285714286,0.1665500783818733,228.6438153628472,-16.463955214842873
Behagen Playground,Playground,Bronx,1,703.0,-0.3230769230769231,722.0,3.085714285714286,0.1665500783818733,820.0847051024571,-11.96031391540254
Benninger Playground,Playground,Queens,1,285.0,-0.3230769230769231,329.0,3.085714285714286,0.1665500783818733,332.46677233883395,-1.0427425015877323
Berry Playground,Playground,Brooklyn,1,135.0,-0.3230769230769231,108.0,3.085714285714286,0.1665500783818733,157.48426058155292,-31.42171820778724
