park_name,park_type,borough,month,raw_visit_counts_2019,TAVG_2019,raw_visit_counts_2020,TAVG_2020,visits_adj_rate,visits_base_adjtd,visit_change_rate
"""Uncle"" Vito E. Maranzano Glendale Playground",Playground,Queens,1,488.0,-0.3230769230769231,676.0,3.085714285714286,0.1738031716429459,572.8159477617577,18.01347407337863
Abigail Playground,Playground,Bronx,1,1518.0,-0.3230769230769231,1597.0,3.085714285714286,0.1738031716429459,1781.833214553992,-10.373205137511
Admiral Farragut Playground,Playground,Bronx,1,1006.0,-0.3230769230769231,1275.0,3.085714285714286,0.1738031716429459,1180.8459906728035,7.973436847048164
American Playground,Playground,Brooklyn,1,93.0,-0.3230769230769231,143.0,3.085714285714286,0.1738031716429459,109.16369496279398,30.99593234613245
Annunciation Park,Playground,Upper Manhattan,1,881.0,-0.3230769230769231,955.0,3.085714285714286,0.1738031716429459,1034.1205942174354,-7.6510026644725535
Arverne Playground,Playground,Queens,1,527.0,-0.3230769230769231,618.0,3.085714285714286,0.1738031716429459,618.5942714558325,-0.0960680502963518
Astoria Health Playground,Playground,Queens,1,561.0,-0.3230769230769231,381.0,3.085714285714286,0.1738031716429459,658.5035792916927,-42.14154455928461
Bailey Playground,Playground,Bronx,1,500.0,-0.3230769230769231,568.0,3.085714285714286,0.1738031716429459,586.901585821473,-3.2205716048657185
Bath Beach Park,Playground,Brooklyn,1,730.0,-0.3230769230769231,969.0,3.085714285714286,0.1738031716429459,856.8763152993506,13.085165583259103
Beanstalk Playground,Playground,Bronx,1,2148.0,-0.3230769230769231,1876.0,3.085714285714286,0.1738031716429459,2521.329212689048,-25.594801719716376
Bedford Playground,Playground,Brooklyn,1,540.0,-0.3230769230769231,373.0,3.085714285714286,0.1738031716429459,633.8537126871909,-41.15361438545728
Behagen Playground,Playground,Bronx,1,2040.0,-0.3230769230769231,2059.0,3.085714285714286,0.1738031716429459,2394.55847015161,-14.013375506774087
Benninger Playground,Playground,Queens,1,761.0,-0.3230769230769231,1024.0,3.085714285714286,0.1738031716429459,893.2642136202819,14.635735360970436
Berry Playground,Playground,Brooklyn,1,221.0,-0.3230769230769231,187.0,3.085714285714286,0.1738031716429459,259.41050093309104,-27.91348101662533
Bill Bojangles Robinson Playground,Playground,Upper Manhattan,1,1171.0,-0.3230769230769231,1335.0,3.085714285714286,0.1738031716429459,1374.5235139938898,-2.87543382062982
Bland Playground,Playground,Queens,1,55.0,-0.3230769230769231,88.0,3.085714285714286,0.1738031716429459,64.55917444036203,36.30905407765391
Brevoort Playground,Playground,Brooklyn,1,740.0,-0.3230769230769231,932.0,3.085714285714286,0.1738031716429459,868.61434701578,7.297329730045139
Bridge Playground,Playground,Bronx,1,975.0,-0.3230769230769231,1098.0,3.085714285714286,0.1738031716429459,1144.4580923518724,-4.05939655303591
Brighton Playground,Playground,Brooklyn,1,787.0,-0.3230769230769231,1269.0,3.085714285714286,0.1738031716429459,923.7830960829986,37.3699091681566
Brizzi Playground,Playground,Brooklyn,1,709.0,-0.3230769230769231,788.0,3.085714285714286,0.1738031716429459,832.2264486948487,-5.314232534210791
Bufano Park,Playground,Bronx,1,449.0,-0.3230769230769231,662.0,3.085714285714286,0.1738031716429459,527.0376240676827,25.607730789820287
Captain Jacob Joseph Playground,Playground,Lower Manhattan,1,325.0,-0.3230769230769231,388.0,3.085714285714286,0.1738031716429459,381.4860307839575,1.707524965634068
Captain Rivera Playground,Playground,Bronx,1,1474.0,-0.3230769230769231,1616.0,3.085714285714286,0.1738031716429459,1730.1858750017025,-6.599630516668628
Carmansville Playground,Playground,Upper Manhattan,1,1099.0,-0.3230769230769231,1320.0,3.085714285714286,0.1738031716429459,1290.0096856355976,2.3248131156182685
Classon Playground,Playground,Brooklyn,1,337.0,-0.3230769230769231,311.0,3.085714285714286,0.1738031716429459,395.5716688436728,-21.37960716218404
Cleopatra Playground,Playground,Bronx,1,1296.0,-0.3230769230769231,1311.0,3.085714285714286,0.1738031716429459,1521.248910449258,-13.820809270927729
Coleman Playground,Playground,Lower Manhattan,1,1687.0,-0.3230769230769231,1562.0,3.085714285714286,0.1738031716429459,1980.2059505616496,-21.11931591979275
Colonel David Marcus Playground,Playground,Brooklyn,1,852.0,-0.3230769230769231,1091.0,3.085714285714286,0.1738031716429459,1000.08030223979,9.091239729108292
Columbus Park,Playground,Lower Manhattan,1,995.0,-0.3230769230769231,2370.0,3.085714285714286,0.1738031716429459,1167.9341557847313,102.92239834424608
Courtney Callender Playground,Playground,Upper Manhattan,1,1002.0,-0.3230769230769231,1731.0,3.085714285714286,0.1738031716429459,1176.1507779862318,47.17500786453277
Crack Is Wack Playground,Playground,Upper Manhattan,1,617.0,-0.3230769230769231,665.0,3.085714285714286,0.1738031716429459,724.2365569036976,-8.179172445664653
Crispus Attucks Playground,Playground,Brooklyn,1,896.0,-0.3230769230769231,771.0,3.085714285714286,0.1738031716429459,1051.7276417920796,-26.692047507065315
Curtis Playground,Playground,Brooklyn,1,513.0,-0.3230769230769231,622.0,3.085714285714286,0.1738031716429459,602.1610270528313,3.2946291865262345
D'Emic Playground,Playground,Brooklyn,1,924.0,-0.3230769230769231,1086.0,3.085714285714286,0.1738031716429459,1084.594130598082,0.1296217047701227
Dan Ross Playground,Playground,Brooklyn,1,455.0,-0.3230769230769231,354.0,3.085714285714286,0.1738031716429459,534.0804430975404,-33.717850077624334
Daniel Boone Playground,Playground,Bronx,1,1396.0,-0.3230769230769231,1316.0,3.085714285714286,0.1738031716429459,1638.6292276135523,-19.68897064550835
Davidson Playground,Playground,Bronx,1,467.0,-0.3230769230769231,507.0,3.085714285714286,0.1738031716429459,548.1660811572558,-7.509782631998756
De Witt Clinton Park,Playground,Lower Manhattan,1,1215.0,-0.3230769230769231,1264.0,3.085714285714286,0.1738031716429459,1426.1708535461794,-11.371067719056306
DeSalvio Playground,Playground,Lower Manhattan,1,156.0,-0.3230769230769231,162.0,3.085714285714286,0.1738031716429459,183.1132947762996,-11.530181247676545
Drew Playground,Playground,Bronx,1,861.0,-0.3230769230769231,721.0,3.085714285714286,0.1738031716429459,1010.6445307845764,-28.65938734756935
Ehrenreich-Austin Playground,Playground,Queens,1,1204.0,-0.3230769230769231,1360.0,3.085714285714286,0.1738031716429459,1413.259018658107,-3.768524945177884
Elizabeth Stroud Playground,Playground,Brooklyn,1,2299.0,-0.3230769230769231,2281.0,3.085714285714286,0.1738031716429459,2698.573491607133,-15.473860278618808
Elton Playground,Playground,Brooklyn,1,641.0,-0.3230769230769231,456.0,3.085714285714286,0.1738031716429459,752.4078330231284,-39.39457033988867
Ennis Playground,Playground,Brooklyn,1,312.0,-0.3230769230769231,287.0,3.085714285714286,0.1738031716429459,366.2265895525992,-21.633216105194965
Epiphany Playground,Playground,Brooklyn,1,673.0,-0.3230769230769231,771.0,3.085714285714286,0.1738031716429459,789.9695345157027,-2.401299504205829
Flynn Playground,Playground,Bronx,1,594.0,-0.3230769230769231,831.0,3.085714285714286,0.1738031716429459,697.2390839559099,19.18436862219108
Fordham Landing Playground,Playground,Bronx,1,856.0,-0.3230769230769231,927.0,3.085714285714286,0.1738031716429459,1004.7755149263618,-7.740586207662695
Fort Independence Playground,Playground,Bronx,1,304.0,-0.3230769230769231,245.0,3.085714285714286,0.1738031716429459,356.8361641794556,-31.341039784076465
Fox Playground,Playground,Bronx,1,1589.0,-0.3230769230769231,1599.0,3.085714285714286,0.1738031716429459,1865.1732397406413,-14.270697974288629
Freedom Square Playground,Playground,Queens,1,233.0,-0.3230769230769231,231.0,3.085714285714286,0.1738031716429459,273.49613899280644,-15.538112950809948
Frost Playground,Playground,Brooklyn,1,1272.0,-0.3230769230769231,1115.0,3.085714285714286,0.1738031716429459,1493.077634329827,-25.32203454373815
Galileo Playground,Playground,Bronx,1,613.0,-0.3230769230769231,723.0,3.085714285714286,0.1738031716429459,719.5413442171259,0.4806750592819869
Garibaldi Playground,Playground,Brooklyn,1,468.0,-0.3230769230769231,575.0,3.085714285714286,0.1738031716429459,549.3398843288987,4.671081857172806
Garrison Playground,Playground,Bronx,1,886.0,-0.3230769230769231,899.0,3.085714285714286,0.1738031716429459,1039.9896100756505,-13.556828713451711
Gene Gray Playground,Playground,Queens,1,435.0,-0.3230769230769231,460.0,3.085714285714286,0.1738031716429459,510.6043796646815,-9.91068264982644
Gouverneur Playground,Playground,Bronx,1,1101.0,-0.3230769230769231,1575.0,3.085714285714286,0.1738031716429459,1292.3572919788835,21.870322531962373
Grand Playground,Playground,Bronx,1,755.0,-0.3230769230769231,571.0,3.085714285714286,0.1738031716429459,886.2213945904242,-35.56914745170498
Greenpoint Playground,Playground,Brooklyn,1,387.0,-0.3230769230769231,488.0,3.085714285714286,0.1738031716429459,454.2618274258201,7.427032283422329
Gun Hill Playground,Playground,Bronx,1,782.0,-0.3230769230769231,1051.0,3.085714285714286,0.1738031716429459,917.9140802247838,14.4987338839628
Half-Nelson Playground,Playground,Bronx,1,855.0,-0.3230769230769231,633.0,3.085714285714286,0.1738031716429459,1003.6017117547188,-36.92717015266453
Havemeyer Playground,Playground,Bronx,1,816.0,-0.3230769230769231,619.0,3.085714285714286,0.1738031716429459,957.823388060644,-35.37430723493584
Heckscher Playground,Playground,Brooklyn,1,1248.0,-0.3230769230769231,1307.0,3.085714285714286,0.1738031716429459,1464.9063582103963,-10.779280008266392
Hines Park,Playground,Bronx,1,2250.0,-0.3230769230769231,1918.0,3.085714285714286,0.1738031716429459,2641.057136196629,-27.37756507751661
Homecrest Playground,Playground,Brooklyn,1,1215.0,-0.3230769230769231,1587.0,3.085714285714286,0.1738031716429459,1426.1708535461794,11.276990134381046
Horseshoe Playground,Playground,Bronx,1,1360.0,-0.3230769230769231,3015.0,3.085714285714286,0.1738031716429459,1596.3723134344066,88.8657160129258
Imagination Playground,Playground,Lower Manhattan,1,492.0,-0.3230769230769231,493.0,3.085714285714286,0.1738031716429459,577.5111604483294,-14.633684374640016
Jaime Campiz Playground,Playground,Brooklyn,1,398.0,-0.3230769230769231,817.0,3.085714285714286,0.1738031716429459,467.1736623138925,74.88143401608549
Jennie Jerome Playground,Playground,Bronx,1,1024.0,-0.3230769230769231,1209.0,3.085714285714286,0.1738031716429459,1201.9744477623767,0.5845009642844086
John Allen Payne Park,Playground,Brooklyn,1,683.0,-0.3230769230769231,1013.0,3.085714285714286,0.1738031716429459,801.7075662321321,26.35529994570225
Josephine Caminiti Playground,Playground,Queens,1,1270.0,-0.3230769230769231,1338.0,3.085714285714286,0.1738031716429459,1490.7300279865417,-10.245317738237734
Kolbert Playground,Playground,Brooklyn,1,3951.0,-0.3230769230769231,5727.0,3.085714285714286,0.1738031716429459,4637.69633116128,23.488033520425823
Lafayette Playground,Playground,Brooklyn,1,758.0,-0.3230769230769231,580.0,3.085714285714286,0.1738031716429459,889.7428041053531,-34.81262255521169
Lefferts Playground,Playground,Queens,1,934.0,-0.3230769230769231,717.0,3.085714285714286,0.1738031716429459,1096.3321623145116,-34.60011257114705
Levy Playground,Playground,Staten Island,1,1431.0,-0.3230769230769231,2204.0,3.085714285714286,0.1738031716429459,1679.7123386210558,31.21294339061373
Lewis Playground,Playground,Brooklyn,1,721.0,-0.3230769230769231,743.0,3.085714285714286,0.1738031716429459,846.3120867545641,-12.207327340762095
Linwood Playground,Playground,Brooklyn,1,543.0,-0.3230769230769231,485.0,3.085714285714286,0.1738031716429459,637.3751222021197,-23.906662951585925
Lion's Pride Playground,Playground,Brooklyn,1,436.0,-0.3230769230769231,545.0,3.085714285714286,0.1738031716429459,511.7781828363245,6.491448498167118
Little Claremont Park,Playground,Bronx,1,749.0,-0.3230769230769231,690.0,3.085714285714286,0.1738031716429459,879.1785755605665,-21.51765077304639
Little Flower Playground,Playground,Lower Manhattan,1,1917.0,-0.3230769230769231,1542.0,3.085714285714286,0.1738031716429459,2250.1806800395275,-31.472169604935345
Lt. Joseph Petrosino Park,Playground,Brooklyn,1,1539.0,-0.3230769230769231,1566.0,3.085714285714286,0.1738031716429459,1806.4830811584936,-13.312224380439396
Lt. Lia Playground,Playground,Staten Island,1,748.0,-0.3230769230769231,861.0,3.085714285714286,0.1738031716429459,878.0047723889236,-1.936751703826856
MacArthur Park,Playground,Lower Manhattan,1,855.0,-0.3230769230769231,724.0,3.085714285714286,0.1738031716429459,1003.6017117547188,-27.859828105101297
MacLaughlin Playground,Playground,Bronx,1,215.0,-0.3230769230769231,430.0,3.085714285714286,0.1738031716429459,252.3676819032334,70.38631759706739
Margaret I. Carman Green - Weeping Beech,Playground,Queens,1,897.0,-0.3230769230769231,969.0,3.085714285714286,0.1738031716429459,1052.9014449637225,-7.96859434138333
Martin Luther King Jr. Playground,Playground,Brooklyn,1,1839.0,-0.3230769230769231,1846.0,3.085714285714286,0.1738031716429459,2158.624032651377,-14.482560553511034
Martin Luther Playground,Playground,Brooklyn,1,2510.0,-0.3230769230769231,2626.0,3.085714285714286,0.1738031716429459,2946.2459608237946,-10.86962748806794
Mary O'Connor Playground,Playground,Lower Manhattan,1,334.0,-0.3230769230769231,394.0,3.085714285714286,0.1738031716429459,392.050259328744,0.4973190617433429
Matthews - Palmer Playground,Playground,Lower Manhattan,1,813.0,-0.3230769230769231,774.0,3.085714285714286,0.1738031716429459,954.3019785457152,-18.89359789659892
Maurice A Fitzgerald Playground,Playground,Queens,1,547.0,-0.3230769230769231,843.0,3.085714285714286,0.1738031716429459,642.0703348886915,31.294027179458684
McCaffrey Playground,Playground,Lower Manhattan,1,540.0,-0.3230769230769231,1098.0,3.085714285714286,0.1738031716429459,633.8537126871909,73.2260895570185
McLaughlin Playground,Playground,Queens,1,158.0,-0.3230769230769231,115.0,3.085714285714286,0.1738031716429459,185.46090111958543,-37.992321127649525
Merriam Playground,Playground,Bronx,1,2013.0,-0.3230769230769231,1658.0,3.085714285714286,0.1738031716429459,2362.86578451725,-29.830970050686105
Middleton Playground,Playground,Brooklyn,1,279.0,-0.3230769230769231,356.0,3.085714285714286,0.1738031716429459,327.4910848883819,8.705249219634394
Millbrook Playground,Playground,Bronx,1,3172.0,-0.3230769230769231,3108.0,3.085714285714286,0.1738031716429459,3723.303660451425,-16.525744783782244
Minetta Playground,Playground,Lower Manhattan,1,299.0,-0.3230769230769231,216.0,3.085714285714286,0.1738031716429459,350.96714832124087,-38.45577825925325
Morris Garden,Playground,Bronx,1,1857.0,-0.3230769230769231,1491.0,3.085714285714286,0.1738031716429459,2179.7524897409508,-31.59773841216277
Mother Cabrini Park,Playground,Brooklyn,1,332.0,-0.3230769230769231,410.0,3.085714285714286,0.1738031716429459,389.7026529854581,5.208418998189195
Mount Hope Playground,Playground,Bronx,1,980.0,-0.3230769230769231,1123.0,3.085714285714286,0.1738031716429459,1150.327108210087,-2.375594560455779
Nehemiah Park,Playground,Brooklyn,1,2025.0,-0.3230769230769231,1998.0,3.085714285714286,0.1738031716429459,2376.951422576966,-15.942749985446762
Noble Playground,Playground,Bronx,1,1425.0,-0.3230769230769231,1396.0,3.085714285714286,0.1738031716429459,1672.669519591198,-16.540596713857514
Norelli-Hargreaves Playground,Playground,Queens,1,737.0,-0.3230769230769231,965.0,3.085714285714286,0.1738031716429459,865.0929375008512,11.548708603236108
North Pacific Playground,Playground,Brooklyn,1,395.0,-0.3230769230769231,325.0,3.085714285714286,0.1738031716429459,463.6522527989637,-29.90436301386468
Ogden Plimpton Playground,Playground,Bronx,1,714.0,-0.3230769230769231,678.0,3.085714285714286,0.1738031716429459,838.0954645530635,-19.10229458626633
Palmetto Playground,Playground,Brooklyn,1,596.0,-0.3230769230769231,631.0,3.085714285714286,0.1738031716429459,699.5866902991958,-9.80388724517657
Parkside Playground,Playground,Bronx,1,1429.0,-0.3230769230769231,1568.0,3.085714285714286,0.1738031716429459,1677.36473227777,-6.520032892861565
Pat Williams Playground,Playground,Queens,1,186.0,-0.3230769230769231,178.0,3.085714285714286,0.1738031716429459,218.327389925588,-18.47106308527421
Paul Raimonda Playground,Playground,Queens,1,637.0,-0.3230769230769231,804.0,3.085714285714286,0.1738031716429459,747.7126203365566,7.527942973345509
Pearl St Playground,Playground,Lower Manhattan,1,732.0,-0.3230769230769231,793.0,3.085714285714286,0.1738031716429459,859.2239216426365,-7.707411301588499
Pfc Norton Playground,Playground,Brooklyn,1,366.0,-0.3230769230769231,329.0,3.085714285714286,0.1738031716429459,429.61196082131823,-23.41926435869512
Pink Playground,Playground,Brooklyn,1,1116.0,-0.3230769230769231,1112.0,3.085714285714286,0.1738031716429459,1309.9643395535277,-15.112193025116962
Playground 115,Playground,Queens,1,358.0,-0.3230769230769231,574.0,3.085714285714286,0.1738031716429459,420.2215354481747,36.59461773843111
Playground One Forty,Playground,Queens,1,555.0,-0.3230769230769231,1517.0,3.085714285714286,0.1738031716429459,651.460760261835,132.8613007159921
Playground Thirty Five XXXV,Playground,Queens,1,244.0,-0.3230769230769231,191.0,3.085714285714286,0.1738031716429459,286.40797388087884,-33.31191257983633
Playground of the Americas,Playground,Lower Manhattan,1,422.0,-0.3230769230769231,347.0,3.085714285714286,0.1738031716429459,495.3449384333232,-29.947805442911868
Plimpton Playground,Playground,Bronx,1,1641.0,-0.3230769230769231,1367.0,3.085714285714286,0.1738031716429459,1926.2110046660744,-29.03165869738235
Poe Park,Playground,Bronx,1,1189.0,-0.3230769230769231,1286.0,3.085714285714286,0.1738031716429459,1395.6519710834627,-7.856684428162882
Poppenhusen Playground,Playground,Queens,1,457.0,-0.3230769230769231,691.0,3.085714285714286,0.1738031716429459,536.4280494408263,28.81503879603236
Powell Playground,Playground,Brooklyn,1,1192.0,-0.3230769230769231,1080.0,3.085714285714286,0.1738031716429459,1399.1733805983915,-22.81156753152987
Rainbow Playground,Playground,Brooklyn,1,450.0,-0.3230769230769231,568.0,3.085714285714286,0.1738031716429459,528.2114272393258,7.53269821681585
Randall Playground,Playground,Bronx,1,2075.0,-0.3230769230769231,2054.0,3.085714285714286,0.1738031716429459,2435.641581159113,-15.66903702545146
Real Good Park,Playground,Queens,1,1108.0,-0.3230769230769231,1248.0,3.085714285714286,0.1738031716429459,1300.5739141803842,-4.042362652915123
Redfern Playground,Playground,Queens,1,910.0,-0.3230769230769231,793.0,3.085714285714286,0.1738031716429459,1068.1608861950808,-25.76024733270635
Rev J Polite Playground,Playground,Bronx,1,1050.0,-0.3230769230769231,777.0,3.085714285714286,0.1738031716429459,1232.4933302250934,-36.95706248908507
Robert Moses Playground,Playground,Lower Manhattan,1,16.0,-0.3230769230769231,32.0,3.085714285714286,0.1738031716429459,18.780850746287136,70.38631759706739
Rodney Playground North,Playground,Brooklyn,1,262.0,-0.3230769230769231,253.0,3.085714285714286,0.1738031716429459,307.5364309704519,-17.733323755614418
Rolf Henry Playground,Playground,Brooklyn,1,1095.0,-0.3230769230769231,1630.0,3.085714285714286,0.1738031716429459,1285.314472949026,26.817213553981656
Rudd Playground,Playground,Brooklyn,1,623.0,-0.3230769230769231,543.0,3.085714285714286,0.1738031716429459,731.2793759335553,-25.74657266837272
Sarsfield Playground,Playground,Brooklyn,1,852.0,-0.3230769230769231,915.0,3.085714285714286,0.1738031716429459,1000.08030223979,-8.507347064955008
Schenck Playground,Playground,Brooklyn,1,628.0,-0.3230769230769231,743.0,3.085714285714286,0.1738031716429459,737.1483917917701,0.7938168587747328
Sedgwick Playground,Playground,Bronx,1,1895.0,-0.3230769230769231,1568.0,3.085714285714286,0.1738031716429459,2224.3570102633826,-29.50771873556684
Sixteen Sycamores Playground,Playground,Brooklyn,1,785.0,-0.3230769230769231,606.0,3.085714285714286,0.1738031716429459,921.4354897397126,-34.2330519338708
Skyline Playground,Playground,Staten Island,1,180.0,-0.3230769230769231,247.0,3.085714285714286,0.1738031716429459,211.28457089573027,16.903945684654573
