"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-01",,,"0.0","7","0.0",",7","10",",7","5",",7","6","5,7","2",",7","0",",7","26",",7","14",",7","0",",7","0",",7","-17.2",",7,07,","127","5,,7,07,+","127.0",",,7,05,","61.0",",,7,13,","17.2",",7,13,","1798.2","7","669.0",",7","104.9",",,,7",,,"165",",,,7","-3.2",",7","1.7",",,,7","-8.2",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-02",,,"0.0","7","0.0",",7","14","2,7","11","2,7","4","1,7","2","2,7","0",",7","20",",7","4",",7","1",",7","0",",7","-10.6",",7,04,+","178","1,,7,18,","178.0","2,,7,18,","24.4","2,,7,08,","23.9",",7,22,","2252.1","7","453.9",",7","144.8","2,,,7",,,"203","2,,,7","2.1",",7","6.8",",,,7","-2.5",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-03",,,"0.0","7","0.0",",7","10",",7","7",",7","11","4,7","3","2,7","0",",7","25",",7","0",",7","0",",7","0",",7","-4.4",",7,19,+","305","4,,7,08,","178.0","2,,7,22,","48.8",",,7,08,","15.6",",7,02,","2739.2","7","487.1",",7","132.2",",,,7",,,"254","2,,,7","2.6",",7","6.6",",,,7","-1.4",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-04",,,"0.6","7","0.6",",7","14",",7","10",",7","2",",7","1","1,7","0",",7","11",",7","0",",7","3",",7","0",",7","-3.3",",7,12,+","127",",,7,02,","127.0","1,,7,02,","54.4",",,7,17,","27.2",",7,15,","3060.6","7","321.4",",7","162.9",",,,7",,,"127","1,,,7","7.6",",7","13.1",",,,7","2.2",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-05",,,"43.4","7","42.8",",7","18",",7","12",",7","0",",7","0",",7","0",",7","0",",7","0",",7","22",",7","1",",7","3.3",",7,01,","0",",,7,31,+","0.0",",,7,31,+","17.3",",,7,16,","32.8",",7,30,","3129.4","7","68.8",",7","114.1",",,,7",,,"0",",,,7","17.5",",7","23.3",",,,7","11.7",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-06",,,"120.3","7","76.9",",7","13",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","3",",7","8.3",",7,12,","0",",,7,30,+","0.0",",,7,30,+","16.8",",,7,04,","32.2",",7,30,+","3143.3","7","13.9",",7","77.0",",,,7",,,"0",",,,7","20.4",",7","26.1",",,,7","14.8",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-07",,,"306.0","7","185.7",",7","12",",7","10",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","8",",7","11.7",",7,08,","0",",,7,31,+","0.0",",,7,31,+","44.5",",,7,22,","36.1",",7,03,","0.0","7","0.0",",7","206.4",",,,7",,,"0",",,,7","24.3",",7","30.4",",,,7","18.3",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-08",,,"497.4","7","191.4",",7","17",",7","12",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","7",",7","13.3",",7,25,+","0",",,7,31,+","0.0",",,7,31,+","79.2",",,7,12,","33.9",",7,29,+","0.0","7","0.0",",7","298.4",",,,7",,,"0",",,,7","24.5",",7","29.4",",,,7","19.6",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-09",,,"581.9","7","84.5",",7","16",",7","12",",7","0",",7","0",",7","0",",7","0",",7","0",",7","23",",7","4",",7","8.9",",7,30,","0",",,7,30,+","0.0",",,7,30,+","61.7",",,7,26,","34.4",",7,07,","31.1","7","31.1",",7","216.2",",,,7",,,"0",",,,7","20.1",",7","24.3",",,,7","16.0",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-10",,,"594.7","7","12.8",",7","17",",7","9",",7","0",",7","0",",7","0",",7","7",",7","0",",7","9",",7","0",",7","-1.1",",7,23,+","0",",,7,31,+","0.0",",,7,31,+","27.9",",,7,12,","26.7",",7,08,","234.2","7","203.1",",7","100.0",",,,7",,,"0",",,,7","12.2",",7","16.8",",,,7","7.6",",,,7",,,,,,,,,,
